epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,16.123333,15.410000,16.913333,16.420000,0.838767,0.845900,0.830867,0.835800
2,5.013333,4.980000,9.150000,8.950000,0.949867,0.950200,0.908500,0.910500
3,4.120000,5.040000,9.805000,9.790000,0.958800,0.949600,0.901950,0.902100
4,3.373333,4.370000,5.350000,5.930000,0.966267,0.956300,0.946500,0.940700
5,4.853333,6.310000,3.036667,3.850000,0.951467,0.936900,0.969633,0.961500
6,1.306667,2.700000,2.341667,3.350000,0.986933,0.973000,0.976583,0.966500
7,3.590000,5.600000,2.256667,3.520000,0.964100,0.944000,0.977433,0.964800
8,0.816667,2.670000,1.681667,2.830000,0.991833,0.973300,0.983183,0.971700
9,0.526667,2.400000,2.365000,3.490000,0.994733,0.976000,0.976350,0.965100
10,0.265000,2.020000,1.228333,2.710000,0.997350,0.979800,0.987717,0.972900
11,0.665000,2.490000,1.495000,3.020000,0.993350,0.975100,0.985050,0.969800
12,0.161667,1.940000,1.496667,3.080000,0.998383,0.980600,0.985033,0.969200
13,0.070000,1.970000,0.883333,2.290000,0.999300,0.980300,0.991167,0.977100
14,0.373333,2.320000,1.230000,2.790000,0.996267,0.976800,0.987700,0.972100
15,0.060000,1.950000,0.695000,2.420000,0.999400,0.980500,0.993050,0.975800
16,0.015000,1.640000,0.703333,2.430000,0.999850,0.983600,0.992967,0.975700
17,0.428333,2.310000,1.130000,2.750000,0.995717,0.976900,0.988700,0.972500
18,0.046667,1.730000,0.920000,2.800000,0.999533,0.982700,0.990800,0.972000
19,0.485000,2.630000,0.590000,2.340000,0.995150,0.973700,0.994100,0.976600
20,0.123333,1.990000,1.775000,3.140000,0.998767,0.980100,0.982250,0.968600
21,0.008333,1.830000,0.243333,1.980000,0.999917,0.981700,0.997567,0.980200
22,0.023333,1.860000,0.410000,2.250000,0.999767,0.981400,0.995900,0.977500
23,0.181667,2.260000,0.095000,1.940000,0.998183,0.977400,0.999050,0.980600
24,0.023333,1.930000,0.140000,1.980000,0.999767,0.980700,0.998600,0.980200
25,0.031667,1.790000,0.296667,2.110000,0.999683,0.982100,0.997033,0.978900
26,0.095000,1.990000,0.323333,2.160000,0.999050,0.980100,0.996767,0.978400
27,0.003333,1.690000,0.155000,2.040000,0.999967,0.983100,0.998450,0.979600
28,0.020000,1.680000,0.128333,2.080000,0.999800,0.983200,0.998717,0.979200
29,0.013333,1.810000,0.143333,2.070000,0.999867,0.981900,0.998567,0.979300
30,0.020000,1.820000,0.141667,1.970000,0.999800,0.981800,0.998583,0.980300
31,0.085000,2.060000,0.201667,1.920000,0.999150,0.979400,0.997983,0.980800
32,0.018333,1.860000,0.116667,1.920000,0.999817,0.981400,0.998833,0.980800
33,0.098333,1.950000,2.095000,3.790000,0.999017,0.980500,0.979050,0.962100
34,0.003333,1.750000,0.201667,2.240000,0.999967,0.982500,0.997983,0.977600
35,0.021667,1.850000,0.161667,2.170000,0.999783,0.981500,0.998383,0.978300
36,0.000000,1.830000,0.250000,2.310000,1.000000,0.981700,0.997500,0.976900
37,0.061667,1.880000,0.173333,2.150000,0.999383,0.981200,0.998267,0.978500
38,0.011667,1.830000,0.600000,2.490000,0.999883,0.981700,0.994000,0.975100
39,0.010000,1.700000,0.148333,2.170000,0.999900,0.983000,0.998517,0.978300
40,0.105000,2.090000,0.078333,1.930000,0.998950,0.979100,0.999217,0.980700
41,0.011667,1.680000,0.140000,2.050000,0.999883,0.983200,0.998600,0.979500
42,0.003333,1.810000,0.051667,1.840000,0.999967,0.981900,0.999483,0.981600
43,0.006667,1.750000,0.030000,1.870000,0.999933,0.982500,0.999700,0.981300
44,0.008333,1.770000,0.241667,2.090000,0.999917,0.982300,0.997583,0.979100
45,0.008333,1.850000,0.145000,2.000000,0.999917,0.981500,0.998550,0.980000
46,0.031667,1.940000,0.036667,1.980000,0.999683,0.980600,0.999633,0.980200
47,0.006667,1.810000,0.140000,2.150000,0.999933,0.981900,0.998600,0.978500
48,0.015000,1.760000,0.330000,2.590000,0.999850,0.982400,0.996700,0.974100
49,0.006667,1.900000,0.050000,2.000000,0.999933,0.981000,0.999500,0.980000
50,0.021667,1.770000,0.026667,1.750000,0.999783,0.982300,0.999733,0.982500
51,0.006667,1.810000,0.065000,2.030000,0.999933,0.981900,0.999350,0.979700
52,0.016667,1.810000,0.053333,1.940000,0.999833,0.981900,0.999467,0.980600
53,0.003333,1.630000,0.471667,2.460000,0.999967,0.983700,0.995283,0.975400
54,0.000000,1.760000,0.041667,1.830000,1.000000,0.982400,0.999583,0.981700
55,0.006667,1.740000,0.015000,1.820000,0.999933,0.982600,0.999850,0.981800
56,0.001667,1.790000,0.011667,1.810000,0.999983,0.982100,0.999883,0.981900
57,0.006667,1.780000,0.736667,2.510000,0.999933,0.982200,0.992633,0.974900
58,0.028333,1.900000,0.035000,2.020000,0.999717,0.981000,0.999650,0.979800
59,0.011667,1.850000,0.091667,2.000000,0.999883,0.981500,0.999083,0.980000
60,0.021667,1.880000,0.185000,2.280000,0.999783,0.981200,0.998150,0.977200
