epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,19.286667,19.390000,17.138333,16.670000,0.807133,0.806100,0.828617,0.833300
2,17.806667,16.960000,18.721667,18.340000,0.821933,0.830400,0.812783,0.816600
3,6.390000,6.610000,6.711667,6.950000,0.936100,0.933900,0.932883,0.930500
4,11.120000,10.630000,6.020000,6.750000,0.888800,0.893700,0.939800,0.932500
5,4.223333,5.120000,3.846667,4.510000,0.957767,0.948800,0.961533,0.954900
6,4.578333,5.150000,3.031667,4.300000,0.954217,0.948500,0.969683,0.957000
7,9.301667,9.710000,2.790000,3.940000,0.906983,0.902900,0.972100,0.960600
8,2.933333,4.110000,3.251667,4.640000,0.970667,0.958900,0.967483,0.953600
9,2.348333,3.670000,1.506667,2.950000,0.976517,0.963300,0.984933,0.970500
10,1.615000,2.960000,2.600000,3.800000,0.983850,0.970400,0.974000,0.962000
11,1.868333,3.250000,2.406667,3.750000,0.981317,0.967500,0.975933,0.962500
12,1.601667,2.980000,0.793333,2.570000,0.983983,0.970200,0.992067,0.974300
13,1.168333,2.910000,0.771667,2.520000,0.988317,0.970900,0.992283,0.974800
14,1.098333,2.670000,0.821667,2.340000,0.989017,0.973300,0.991783,0.976600
15,0.826667,2.640000,1.273333,2.990000,0.991733,0.973600,0.987267,0.970100
16,1.016667,2.850000,1.115000,2.770000,0.989833,0.971500,0.988850,0.972300
17,0.718333,2.550000,1.660000,3.290000,0.992817,0.974500,0.983400,0.967100
18,0.943333,2.780000,0.651667,2.630000,0.990567,0.972200,0.993483,0.973700
19,0.916667,2.610000,0.671667,2.710000,0.990833,0.973900,0.993283,0.972900
20,0.600000,2.390000,0.486667,2.450000,0.994000,0.976100,0.995133,0.975500
21,0.976667,2.710000,0.440000,2.300000,0.990233,0.972900,0.995600,0.977000
22,0.376667,2.360000,0.321667,2.260000,0.996233,0.976400,0.996783,0.977400
23,0.581667,2.690000,0.855000,2.740000,0.994183,0.973100,0.991450,0.972600
24,0.355000,2.400000,0.245000,2.160000,0.996450,0.976000,0.997550,0.978400
25,0.226667,2.200000,0.186667,1.930000,0.997733,0.978000,0.998133,0.980700
26,0.471667,2.320000,0.215000,2.230000,0.995283,0.976800,0.997850,0.977700
27,0.381667,2.210000,0.293333,2.260000,0.996183,0.977900,0.997067,0.977400
28,0.445000,2.350000,0.316667,2.230000,0.995550,0.976500,0.996833,0.977700
29,0.345000,2.380000,0.286667,2.270000,0.996550,0.976200,0.997133,0.977300
30,1.821667,3.790000,0.363333,2.320000,0.981783,0.962100,0.996367,0.976800
31,0.416667,2.380000,0.236667,2.360000,0.995833,0.976200,0.997633,0.976400
32,0.491667,2.380000,0.120000,2.180000,0.995083,0.976200,0.998800,0.978200
33,0.140000,2.020000,1.121667,2.890000,0.998600,0.979800,0.988783,0.971100
34,0.193333,2.310000,0.355000,2.170000,0.998067,0.976900,0.996450,0.978300
35,0.345000,2.380000,0.086667,2.140000,0.996550,0.976200,0.999133,0.978600
36,0.165000,2.060000,0.143333,2.260000,0.998350,0.979400,0.998567,0.977400
37,0.233333,2.150000,0.086667,2.230000,0.997667,0.978500,0.999133,0.977700
38,0.196667,2.230000,0.116667,2.180000,0.998033,0.977700,0.998833,0.978200
39,0.223333,2.200000,0.050000,2.190000,0.997767,0.978000,0.999500,0.978100
40,0.171667,1.960000,0.121667,2.140000,0.998283,0.980400,0.998783,0.978600
41,0.100000,2.020000,0.090000,1.990000,0.999000,0.979800,0.999100,0.980100
42,0.181667,2.240000,0.098333,2.230000,0.998183,0.977600,0.999017,0.977700
43,0.893333,2.870000,0.100000,2.240000,0.991067,0.971300,0.999000,0.977600
44,0.151667,2.140000,0.223333,2.290000,0.998483,0.978600,0.997767,0.977100
45,0.181667,2.300000,0.060000,2.170000,0.998183,0.977000,0.999400,0.978300
46,0.088333,2.040000,0.105000,2.190000,0.999117,0.979600,0.998950,0.978100
47,0.151667,2.120000,0.083333,2.190000,0.998483,0.978800,0.999167,0.978100
48,0.195000,2.020000,0.230000,2.270000,0.998050,0.979800,0.997700,0.977300
49,0.280000,2.360000,0.068333,2.160000,0.997200,0.976400,0.999317,0.978400
50,0.085000,2.040000,0.053333,2.110000,0.999150,0.979600,0.999467,0.978900
51,0.236667,2.240000,0.041667,1.910000,0.997633,0.977600,0.999583,0.980900
52,0.756667,2.950000,0.106667,2.150000,0.992433,0.970500,0.998933,0.978500
53,0.150000,2.200000,0.086667,2.190000,0.998500,0.978000,0.999133,0.978100
54,0.225000,2.360000,0.826667,2.720000,0.997750,0.976400,0.991733,0.972800
55,0.231667,2.470000,0.043333,2.180000,0.997683,0.975300,0.999567,0.978200
56,0.045000,2.010000,0.051667,2.190000,0.999550,0.979900,0.999483,0.978100
57,0.408333,2.440000,0.073333,2.150000,0.995917,0.975600,0.999267,0.978500
58,0.106667,2.090000,0.066667,2.200000,0.998933,0.979100,0.999333,0.978000
59,0.093333,2.140000,0.048333,2.150000,0.999067,0.978600,0.999517,0.978500
60,0.055000,1.970000,0.163333,2.330000,0.999450,0.980300,0.998367,0.976700
