epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,12.418333,12.430000,19.995000,19.610000,0.875817,0.875700,0.800050,0.803900
2,5.193333,5.520000,6.595000,6.940000,0.948067,0.944800,0.934050,0.930600
3,5.945000,6.560000,5.445000,6.030000,0.940550,0.934400,0.945550,0.939700
4,3.008333,3.840000,5.773333,6.160000,0.969917,0.961600,0.942267,0.938400
5,2.625000,3.820000,4.190000,5.100000,0.973750,0.961800,0.958100,0.949000
6,1.926667,3.000000,2.231667,3.400000,0.980733,0.970000,0.977683,0.966000
7,3.903333,5.170000,2.125000,3.090000,0.960967,0.948300,0.978750,0.969100
8,2.303333,3.900000,2.328333,3.500000,0.976967,0.961000,0.976717,0.965000
9,1.456667,2.970000,2.238333,3.540000,0.985433,0.970300,0.977617,0.964600
10,1.131667,2.710000,1.556667,2.920000,0.988683,0.972900,0.984433,0.970800
11,0.783333,2.560000,1.588333,2.940000,0.992167,0.974400,0.984117,0.970600
12,1.371667,3.230000,1.138333,2.740000,0.986283,0.967700,0.988617,0.972600
13,0.656667,2.760000,0.715000,2.420000,0.993433,0.972400,0.992850,0.975800
14,0.433333,2.410000,0.766667,2.440000,0.995667,0.975900,0.992333,0.975600
15,0.290000,2.250000,0.470000,2.370000,0.997100,0.977500,0.995300,0.976300
16,0.548333,2.700000,0.805000,2.890000,0.994517,0.973000,0.991950,0.971100
17,0.215000,2.270000,0.388333,2.230000,0.997850,0.977300,0.996117,0.977700
18,0.291667,2.370000,0.325000,2.260000,0.997083,0.976300,0.996750,0.977400
19,1.455000,3.410000,1.315000,3.030000,0.985450,0.965900,0.986850,0.969700
20,0.105000,2.080000,0.500000,2.500000,0.998950,0.979200,0.995000,0.975000
21,0.161667,2.230000,0.340000,2.500000,0.998383,0.977700,0.996600,0.975000
22,0.641667,2.650000,0.335000,2.390000,0.993583,0.973500,0.996650,0.976100
23,0.103333,2.170000,0.398333,2.530000,0.998967,0.978300,0.996017,0.974700
24,0.243333,2.330000,0.411667,2.440000,0.997567,0.976700,0.995883,0.975600
25,0.131667,2.210000,1.010000,3.190000,0.998683,0.977900,0.989900,0.968100
26,0.056667,2.120000,1.378333,3.650000,0.999433,0.978800,0.986217,0.963500
27,0.095000,2.060000,0.380000,2.410000,0.999050,0.979400,0.996200,0.975900
28,0.375000,2.510000,0.145000,2.220000,0.996250,0.974900,0.998550,0.977800
29,0.220000,2.300000,0.280000,2.320000,0.997800,0.977000,0.997200,0.976800
30,0.065000,2.160000,0.151667,2.270000,0.999350,0.978400,0.998483,0.977300
31,0.055000,2.230000,0.101667,2.320000,0.999450,0.977700,0.998983,0.976800
32,0.711667,2.870000,0.173333,2.200000,0.992883,0.971300,0.998267,0.978000
33,0.110000,2.250000,0.371667,2.480000,0.998900,0.977500,0.996283,0.975200
34,0.113333,2.180000,0.066667,2.190000,0.998867,0.978200,0.999333,0.978100
35,0.071667,2.080000,0.115000,2.130000,0.999283,0.979200,0.998850,0.978700
36,0.226667,2.330000,0.230000,2.460000,0.997733,0.976700,0.997700,0.975400
37,0.051667,2.090000,0.038333,2.120000,0.999483,0.979100,0.999617,0.978800
38,0.035000,2.050000,0.043333,2.000000,0.999650,0.979500,0.999567,0.980000
39,0.236667,2.320000,0.085000,2.280000,0.997633,0.976800,0.999150,0.977200
40,0.223333,2.450000,0.036667,2.160000,0.997767,0.975500,0.999633,0.978400
41,0.196667,2.370000,0.911667,3.180000,0.998033,0.976300,0.990883,0.968200
42,0.071667,2.090000,0.560000,2.620000,0.999283,0.979100,0.994400,0.973800
43,0.073333,2.100000,0.046667,2.040000,0.999267,0.979000,0.999533,0.979600
44,0.056667,2.050000,0.080000,2.220000,0.999433,0.979500,0.999200,0.977800
45,0.043333,2.170000,0.131667,2.240000,0.999567,0.978300,0.998683,0.977600
46,0.090000,2.080000,0.070000,2.200000,0.999100,0.979200,0.999300,0.978000
47,0.080000,2.210000,0.010000,2.120000,0.999200,0.977900,0.999900,0.978800
48,0.118333,2.360000,0.060000,2.180000,0.998817,0.976400,0.999400,0.978200
49,0.181667,2.150000,0.101667,2.090000,0.998183,0.978500,0.998983,0.979100
50,0.065000,2.000000,0.056667,2.280000,0.999350,0.980000,0.999433,0.977200
51,0.025000,1.940000,0.071667,2.410000,0.999750,0.980600,0.999283,0.975900
52,0.051667,2.250000,0.131667,2.220000,0.999483,0.977500,0.998683,0.977800
53,0.173333,2.190000,0.181667,2.470000,0.998267,0.978100,0.998183,0.975300
54,0.126667,2.250000,0.038333,2.020000,0.998733,0.977500,0.999617,0.979800
55,0.071667,2.180000,0.076667,2.160000,0.999283,0.978200,0.999233,0.978400
56,0.013333,2.040000,0.035000,2.130000,0.999867,0.979600,0.999650,0.978700
57,0.011667,2.050000,0.155000,2.110000,0.999883,0.979500,0.998450,0.978900
58,0.043333,2.140000,0.041667,2.210000,0.999567,0.978600,0.999583,0.977900
59,0.058333,1.880000,0.015000,2.210000,0.999417,0.981200,0.999850,0.977900
60,0.028333,1.940000,0.045000,2.190000,0.999717,0.980600,0.999550,0.978100
