epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,24.306667,24.010000,17.141667,15.990000,0.756933,0.759900,0.828583,0.840100
2,13.205000,12.810000,16.623333,16.550000,0.867950,0.871900,0.833767,0.834500
3,10.618333,11.000000,7.128333,7.470000,0.893817,0.890000,0.928717,0.925300
4,11.303333,11.960000,4.560000,5.350000,0.886967,0.880400,0.954400,0.946500
5,8.910000,9.770000,4.206667,5.120000,0.910900,0.902300,0.957933,0.948800
6,4.306667,4.670000,3.175000,4.020000,0.956933,0.953300,0.968250,0.959800
7,3.710000,4.680000,3.970000,4.840000,0.962900,0.953200,0.960300,0.951600
8,2.450000,3.770000,2.973333,4.090000,0.975500,0.962300,0.970267,0.959100
9,2.943333,4.310000,3.370000,4.580000,0.970567,0.956900,0.966300,0.954200
10,1.986667,2.890000,1.791667,3.430000,0.980133,0.971100,0.982083,0.965700
11,6.291667,7.780000,1.751667,3.200000,0.937083,0.922200,0.982483,0.968000
12,7.111667,8.600000,0.785000,2.270000,0.928883,0.914000,0.992150,0.977300
13,1.360000,2.740000,1.575000,3.280000,0.986400,0.972600,0.984250,0.967200
14,2.055000,3.690000,1.460000,2.820000,0.979450,0.963100,0.985400,0.971800
15,1.093333,2.980000,2.863333,4.220000,0.989067,0.970200,0.971367,0.957800
16,0.976667,2.760000,0.408333,2.330000,0.990233,0.972400,0.995917,0.976700
17,3.701667,5.260000,0.753333,2.460000,0.962983,0.947400,0.992467,0.975400
18,0.661667,2.770000,0.523333,2.350000,0.993383,0.972300,0.994767,0.976500
19,0.671667,2.560000,0.281667,2.160000,0.993283,0.974400,0.997183,0.978400
20,0.578333,2.440000,0.698333,2.620000,0.994217,0.975600,0.993017,0.973800
21,1.048333,3.150000,0.345000,2.320000,0.989517,0.968500,0.996550,0.976800
22,0.380000,2.220000,0.350000,2.200000,0.996200,0.977800,0.996500,0.978000
23,0.373333,2.300000,0.450000,2.340000,0.996267,0.977000,0.995500,0.976600
24,0.730000,2.710000,0.296667,2.210000,0.992700,0.972900,0.997033,0.977900
25,0.425000,2.290000,0.131667,2.180000,0.995750,0.977100,0.998683,0.978200
26,0.551667,2.560000,0.748333,2.840000,0.994483,0.974400,0.992517,0.971600
27,0.436667,2.640000,0.656667,2.550000,0.995633,0.973600,0.993433,0.974500
28,0.350000,2.280000,0.478333,2.520000,0.996500,0.977200,0.995217,0.974800
29,0.865000,2.960000,1.083333,2.760000,0.991350,0.970400,0.989167,0.972400
30,0.340000,2.270000,0.430000,2.370000,0.996600,0.977300,0.995700,0.976300
31,0.223333,2.040000,0.176667,2.160000,0.997767,0.979600,0.998233,0.978400
32,0.421667,2.450000,0.375000,2.400000,0.995783,0.975500,0.996250,0.976000
33,0.208333,2.450000,0.190000,2.280000,0.997917,0.975500,0.998100,0.977200
34,0.258333,2.400000,0.503333,2.480000,0.997417,0.976000,0.994967,0.975200
35,0.238333,2.130000,0.283333,2.270000,0.997617,0.978700,0.997167,0.977300
36,0.303333,2.240000,0.168333,2.220000,0.996967,0.977600,0.998317,0.977800
37,0.171667,2.200000,0.098333,2.220000,0.998283,0.978000,0.999017,0.977800
38,0.195000,2.040000,0.396667,2.360000,0.998050,0.979600,0.996033,0.976400
39,0.226667,2.120000,0.361667,2.600000,0.997733,0.978800,0.996383,0.974000
40,0.126667,1.910000,0.215000,2.350000,0.998733,0.980900,0.997850,0.976500
41,0.133333,2.060000,0.108333,2.200000,0.998667,0.979400,0.998917,0.978000
42,0.110000,2.040000,0.096667,2.030000,0.998900,0.979600,0.999033,0.979700
43,0.193333,2.190000,0.113333,2.220000,0.998067,0.978100,0.998867,0.977800
44,0.151667,2.020000,0.136667,2.340000,0.998483,0.979800,0.998633,0.976600
45,0.141667,2.050000,0.096667,2.210000,0.998583,0.979500,0.999033,0.977900
46,0.156667,2.140000,0.040000,2.230000,0.998433,0.978600,0.999600,0.977700
47,0.121667,2.010000,0.080000,2.130000,0.998783,0.979900,0.999200,0.978700
48,0.088333,1.950000,0.063333,2.340000,0.999117,0.980500,0.999367,0.976600
49,0.116667,2.040000,0.290000,2.590000,0.998833,0.979600,0.997100,0.974100
50,0.180000,1.880000,0.045000,2.140000,0.998200,0.981200,0.999550,0.978600
51,0.238333,2.290000,0.171667,2.330000,0.997617,0.977100,0.998283,0.976700
52,0.063333,1.900000,0.193333,2.430000,0.999367,0.981000,0.998067,0.975700
53,0.155000,2.090000,0.131667,2.300000,0.998450,0.979100,0.998683,0.977000
54,0.296667,2.150000,0.043333,2.160000,0.997033,0.978500,0.999567,0.978400
55,0.168333,2.200000,0.115000,2.410000,0.998317,0.978000,0.998850,0.975900
56,0.256667,2.240000,0.081667,2.310000,0.997433,0.977600,0.999183,0.976900
57,0.160000,2.150000,0.108333,2.280000,0.998400,0.978500,0.998917,0.977200
58,0.236667,2.320000,0.058333,2.110000,0.997633,0.976800,0.999417,0.978900
59,0.060000,2.130000,0.075000,2.190000,0.999400,0.978700,0.999250,0.978100
60,0.050000,2.150000,0.061667,2.200000,0.999500,0.978500,0.999383,0.978000
