epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,11.068333,10.000000,13.500000,13.080000,0.889317,0.900000,0.865000,0.869200
2,7.673333,7.730000,9.220000,9.310000,0.923267,0.922700,0.907800,0.906900
3,6.310000,6.800000,6.895000,6.810000,0.936900,0.932000,0.931050,0.931900
4,4.591667,4.900000,3.873333,4.330000,0.954083,0.951000,0.961267,0.956700
5,3.901667,4.270000,2.736667,3.330000,0.960983,0.957300,0.972633,0.966700
6,3.258333,3.720000,2.536667,3.150000,0.967417,0.962800,0.974633,0.968500
7,2.731667,3.310000,1.888333,2.840000,0.972683,0.966900,0.981117,0.971600
8,2.156667,2.880000,1.626667,2.490000,0.978433,0.971200,0.983733,0.975100
9,2.060000,2.920000,1.636667,2.680000,0.979400,0.970800,0.983633,0.973200
10,1.701667,2.580000,0.913333,2.060000,0.982983,0.974200,0.990867,0.979400
11,1.470000,2.440000,0.728333,2.020000,0.985300,0.975600,0.992717,0.979800
12,1.163333,2.300000,0.720000,2.130000,0.988367,0.977000,0.992800,0.978700
13,1.098333,2.190000,0.485000,1.870000,0.989017,0.978100,0.995150,0.981300
14,0.971667,2.180000,0.366667,1.970000,0.990283,0.978200,0.996333,0.980300
15,0.720000,1.960000,0.221667,1.740000,0.992800,0.980400,0.997783,0.982600
16,0.691667,1.900000,0.163333,1.850000,0.993083,0.981000,0.998367,0.981500
17,0.746667,2.240000,0.171667,1.730000,0.992533,0.977600,0.998283,0.982700
18,0.508333,1.860000,0.316667,2.020000,0.994917,0.981400,0.996833,0.979800
19,0.343333,1.770000,0.091667,1.760000,0.996567,0.982300,0.999083,0.982400
20,0.370000,1.880000,0.055000,1.850000,0.996300,0.981200,0.999450,0.981500
21,0.393333,1.860000,0.038333,1.710000,0.996067,0.981400,0.999617,0.982900
22,0.203333,1.790000,0.025000,1.710000,0.997967,0.982100,0.999750,0.982900
23,0.141667,1.760000,0.043333,1.850000,0.998583,0.982400,0.999567,0.981500
24,0.108333,1.700000,0.013333,1.610000,0.998917,0.983000,0.999867,0.983900
25,0.098333,1.650000,0.015000,1.800000,0.999017,0.983500,0.999850,0.982000
26,0.106667,1.800000,0.010000,1.720000,0.998933,0.982000,0.999900,0.982800
27,0.146667,1.840000,0.000000,1.700000,0.998533,0.981600,1.000000,0.983000
28,0.070000,1.730000,0.003333,1.670000,0.999300,0.982700,0.999967,0.983300
29,0.050000,1.720000,0.016667,1.810000,0.999500,0.982800,0.999833,0.981900
30,0.030000,1.730000,0.000000,1.670000,0.999700,0.982700,1.000000,0.983300
31,0.108333,1.730000,0.003333,1.720000,0.998917,0.982700,0.999967,0.982800
32,0.021667,1.680000,0.000000,1.720000,0.999783,0.983200,1.000000,0.982800
33,0.031667,1.690000,0.000000,1.660000,0.999683,0.983100,1.000000,0.983400
34,0.020000,1.570000,0.000000,1.770000,0.999800,0.984300,1.000000,0.982300
35,0.015000,1.710000,0.000000,1.610000,0.999850,0.982900,1.000000,0.983900
36,0.005000,1.610000,0.000000,1.580000,0.999950,0.983900,1.000000,0.984200
37,0.003333,1.610000,0.011667,1.740000,0.999967,0.983900,0.999883,0.982600
38,0.003333,1.650000,0.000000,1.660000,0.999967,0.983500,1.000000,0.983400
39,0.005000,1.660000,0.000000,1.590000,0.999950,0.983400,1.000000,0.984100
40,0.001667,1.670000,0.000000,1.580000,0.999983,0.983300,1.000000,0.984200
41,0.010000,1.650000,0.000000,1.680000,0.999900,0.983500,1.000000,0.983200
42,0.003333,1.630000,0.000000,1.610000,0.999967,0.983700,1.000000,0.983900
43,0.000000,1.580000,0.000000,1.640000,1.000000,0.984200,1.000000,0.983600
44,0.001667,1.650000,0.000000,1.680000,0.999983,0.983500,1.000000,0.983200
45,0.005000,1.610000,0.000000,1.600000,0.999950,0.983900,1.000000,0.984000
46,0.000000,1.630000,0.000000,1.620000,1.000000,0.983700,1.000000,0.983800
47,0.000000,1.660000,0.000000,1.630000,1.000000,0.983400,1.000000,0.983700
48,0.000000,1.610000,0.000000,1.620000,1.000000,0.983900,1.000000,0.983800
49,0.000000,1.590000,0.000000,1.700000,1.000000,0.984100,1.000000,0.983000
50,0.000000,1.620000,0.000000,1.660000,1.000000,0.983800,1.000000,0.983400
51,0.000000,1.590000,0.000000,1.670000,1.000000,0.984100,1.000000,0.983300
52,0.000000,1.670000,0.000000,1.620000,1.000000,0.983300,1.000000,0.983800
53,0.006667,1.640000,0.000000,1.650000,0.999933,0.983600,1.000000,0.983500
54,0.000000,1.550000,0.000000,1.640000,1.000000,0.984500,1.000000,0.983600
55,0.001667,1.760000,0.000000,1.780000,0.999983,0.982400,1.000000,0.982200
56,0.000000,1.580000,0.000000,1.710000,1.000000,0.984200,1.000000,0.982900
57,0.000000,1.600000,0.000000,1.610000,1.000000,0.984000,1.000000,0.983900
58,0.000000,1.630000,0.000000,1.660000,1.000000,0.983700,1.000000,0.983400
59,0.000000,1.570000,0.000000,1.680000,1.000000,0.984300,1.000000,0.983200
60,0.000000,1.570000,0.000000,1.640000,1.000000,0.984300,1.000000,0.983600
