epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,12.620000,11.850000,18.455000,17.920000,0.873800,0.881500,0.815450,0.820800
2,6.643333,6.920000,7.563333,7.640000,0.933567,0.930800,0.924367,0.923600
3,4.621667,5.020000,6.925000,7.320000,0.953783,0.949800,0.930750,0.926800
4,4.463333,5.080000,4.383333,4.990000,0.955367,0.949200,0.956167,0.950100
5,3.623333,4.670000,4.711667,5.630000,0.963767,0.953300,0.952883,0.943700
6,2.251667,3.440000,3.551667,4.300000,0.977483,0.965600,0.964483,0.957000
7,1.903333,3.200000,2.735000,4.030000,0.980967,0.968000,0.972650,0.959700
8,1.980000,3.470000,4.621667,5.640000,0.980200,0.965300,0.953783,0.943600
9,1.441667,2.880000,2.205000,3.640000,0.985583,0.971200,0.977950,0.963600
10,1.050000,2.580000,2.611667,4.240000,0.989500,0.974200,0.973883,0.957600
11,0.951667,2.730000,2.153333,3.440000,0.990483,0.972700,0.978467,0.965600
12,1.923333,3.940000,3.538333,4.800000,0.980767,0.960600,0.964617,0.952000
13,3.606667,6.080000,1.105000,2.730000,0.963933,0.939200,0.988950,0.972700
14,0.975000,2.840000,2.076667,3.680000,0.990250,0.971600,0.979233,0.963200
15,0.363333,2.330000,1.906667,3.620000,0.996367,0.976700,0.980933,0.963800
16,0.275000,2.200000,0.780000,2.760000,0.997250,0.978000,0.992200,0.972400
17,0.605000,2.700000,0.353333,2.520000,0.993950,0.973000,0.996467,0.974800
18,0.235000,2.330000,0.358333,2.440000,0.997650,0.976700,0.996417,0.975600
19,0.521667,2.550000,0.276667,2.210000,0.994783,0.974500,0.997233,0.977900
20,0.560000,2.620000,0.293333,2.460000,0.994400,0.973800,0.997067,0.975400
21,1.416667,3.870000,0.498333,2.320000,0.985833,0.961300,0.995017,0.976800
22,0.196667,2.290000,0.393333,2.270000,0.998033,0.977100,0.996067,0.977300
23,0.245000,2.230000,0.175000,2.150000,0.997550,0.977700,0.998250,0.978500
24,0.438333,2.560000,0.240000,2.230000,0.995617,0.974400,0.997600,0.977700
25,0.136667,2.060000,0.228333,2.160000,0.998633,0.979400,0.997717,0.978400
26,0.033333,2.090000,0.118333,2.180000,0.999667,0.979100,0.998817,0.978200
27,0.098333,2.170000,0.741667,2.860000,0.999017,0.978300,0.992583,0.971400
28,0.158333,2.460000,0.478333,2.440000,0.998417,0.975400,0.995217,0.975600
29,0.105000,2.340000,0.818333,2.870000,0.998950,0.976600,0.991817,0.971300
30,0.080000,2.220000,0.150000,2.180000,0.999200,0.977800,0.998500,0.978200
31,0.098333,2.170000,0.063333,2.220000,0.999017,0.978300,0.999367,0.977800
32,0.316667,2.610000,0.118333,2.360000,0.996833,0.973900,0.998817,0.976400
33,0.103333,2.280000,0.493333,2.610000,0.998967,0.977200,0.995067,0.973900
34,1.055000,3.570000,0.053333,2.200000,0.989450,0.964300,0.999467,0.978000
35,0.253333,2.380000,0.156667,2.240000,0.997467,0.976200,0.998433,0.977600
36,0.031667,2.300000,0.151667,2.360000,0.999683,0.977000,0.998483,0.976400
37,0.016667,2.100000,0.096667,2.330000,0.999833,0.979000,0.999033,0.976700
38,0.073333,2.210000,0.133333,2.360000,0.999267,0.977900,0.998667,0.976400
39,0.263333,2.490000,0.055000,2.150000,0.997367,0.975100,0.999450,0.978500
40,0.071667,2.310000,0.121667,2.190000,0.999283,0.976900,0.998783,0.978100
41,0.033333,2.120000,0.025000,2.090000,0.999667,0.978800,0.999750,0.979100
42,0.045000,2.240000,0.536667,2.670000,0.999550,0.977600,0.994633,0.973300
43,0.365000,2.580000,0.078333,2.270000,0.996350,0.974200,0.999217,0.977300
44,0.023333,2.050000,0.085000,2.240000,0.999767,0.979500,0.999150,0.977600
45,0.030000,1.940000,0.071667,2.240000,0.999700,0.980600,0.999283,0.977600
46,0.110000,2.290000,0.063333,2.210000,0.998900,0.977100,0.999367,0.977900
47,0.033333,2.070000,0.096667,2.430000,0.999667,0.979300,0.999033,0.975700
48,0.026667,1.960000,0.150000,2.280000,0.999733,0.980400,0.998500,0.977200
49,0.046667,2.140000,0.111667,2.400000,0.999533,0.978600,0.998883,0.976000
50,0.028333,2.090000,0.396667,2.620000,0.999717,0.979100,0.996033,0.973800
51,0.060000,2.160000,0.081667,2.300000,0.999400,0.978400,0.999183,0.977000
52,0.155000,2.280000,0.076667,2.180000,0.998450,0.977200,0.999233,0.978200
53,0.130000,2.340000,0.170000,2.270000,0.998700,0.976600,0.998300,0.977300
54,0.075000,2.200000,0.231667,2.600000,0.999250,0.978000,0.997683,0.974000
55,0.011667,2.280000,0.111667,2.450000,0.999883,0.977200,0.998883,0.975500
56,0.055000,2.190000,0.095000,2.400000,0.999450,0.978100,0.999050,0.976000
57,0.021667,2.220000,0.035000,2.270000,0.999783,0.977800,0.999650,0.977300
58,0.023333,1.980000,0.075000,2.220000,0.999767,0.980200,0.999250,0.977800
59,0.606667,2.810000,0.055000,2.260000,0.993933,0.971900,0.999450,0.977400
60,0.055000,2.070000,0.036667,2.300000,0.999450,0.979300,0.999633,0.977000
