epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,8.328333,8.050000,18.463333,17.930000,0.916717,0.919500,0.815367,0.820700
2,5.995000,6.340000,7.361667,7.560000,0.940050,0.936600,0.926383,0.924400
3,4.550000,5.230000,5.976667,6.400000,0.954500,0.947700,0.940233,0.936000
4,7.328333,8.070000,4.393333,5.180000,0.926717,0.919300,0.956067,0.948200
5,2.910000,3.800000,3.111667,4.130000,0.970900,0.962000,0.968883,0.958700
6,2.601667,3.830000,2.431667,3.530000,0.973983,0.961700,0.975683,0.964700
7,1.710000,2.710000,3.575000,4.460000,0.982900,0.972900,0.964250,0.955400
8,2.421667,3.850000,1.785000,3.100000,0.975783,0.961500,0.982150,0.969000
9,1.083333,2.600000,3.346667,4.870000,0.989167,0.974000,0.966533,0.951300
10,4.016667,5.610000,1.105000,2.660000,0.959833,0.943900,0.988950,0.973400
11,0.905000,2.580000,1.158333,2.910000,0.990950,0.974200,0.988417,0.970900
12,0.876667,2.880000,0.855000,2.500000,0.991233,0.971200,0.991450,0.975000
13,0.525000,2.290000,1.288333,3.240000,0.994750,0.977100,0.987117,0.967600
14,0.513333,2.540000,0.815000,2.420000,0.994867,0.974600,0.991850,0.975800
15,0.803333,2.580000,0.570000,2.290000,0.991967,0.974200,0.994300,0.977100
16,0.306667,2.180000,0.973333,2.990000,0.996933,0.978200,0.990267,0.970100
17,0.776667,2.720000,0.763333,2.760000,0.992233,0.972800,0.992367,0.972400
18,0.428333,2.440000,0.290000,2.390000,0.995717,0.975600,0.997100,0.976100
19,0.250000,2.290000,0.303333,2.320000,0.997500,0.977100,0.996967,0.976800
20,0.130000,2.140000,0.433333,2.690000,0.998700,0.978600,0.995667,0.973100
21,0.381667,2.150000,0.281667,2.310000,0.996183,0.978500,0.997183,0.976900
22,0.153333,2.140000,0.493333,2.730000,0.998467,0.978600,0.995067,0.972700
23,0.086667,1.980000,0.736667,2.680000,0.999133,0.980200,0.992633,0.973200
24,0.391667,2.500000,1.436667,3.550000,0.996083,0.975000,0.985633,0.964500
25,0.193333,2.250000,0.188333,2.410000,0.998067,0.977500,0.998117,0.975900
26,0.266667,2.450000,0.385000,2.400000,0.997333,0.975500,0.996150,0.976000
27,0.045000,1.930000,0.103333,2.220000,0.999550,0.980700,0.998967,0.977800
28,0.065000,2.120000,0.103333,2.340000,0.999350,0.978800,0.998967,0.976600
29,0.160000,2.210000,0.378333,2.750000,0.998400,0.977900,0.996217,0.972500
30,1.056667,2.970000,0.241667,2.360000,0.989433,0.970300,0.997583,0.976400
31,0.158333,2.380000,0.091667,2.170000,0.998417,0.976200,0.999083,0.978300
32,0.096667,1.990000,0.078333,2.390000,0.999033,0.980100,0.999217,0.976100
33,0.075000,2.120000,0.143333,2.470000,0.999250,0.978800,0.998567,0.975300
34,0.281667,2.300000,0.093333,2.310000,0.997183,0.977000,0.999067,0.976900
35,0.013333,1.980000,0.318333,2.690000,0.999867,0.980200,0.996817,0.973100
36,0.401667,2.440000,0.185000,2.470000,0.995983,0.975600,0.998150,0.975300
37,0.035000,1.890000,0.275000,2.620000,0.999650,0.981100,0.997250,0.973800
38,0.270000,2.250000,0.096667,2.360000,0.997300,0.977500,0.999033,0.976400
39,0.048333,1.960000,0.148333,2.400000,0.999517,0.980400,0.998517,0.976000
40,0.056667,2.080000,0.048333,2.350000,0.999433,0.979200,0.999517,0.976500
41,0.045000,2.110000,0.205000,2.530000,0.999550,0.978900,0.997950,0.974700
42,0.056667,2.120000,0.156667,2.540000,0.999433,0.978800,0.998433,0.974600
43,0.275000,2.290000,0.041667,2.170000,0.997250,0.977100,0.999583,0.978300
44,0.238333,2.260000,0.360000,2.710000,0.997617,0.977400,0.996400,0.972900
45,0.020000,2.040000,0.055000,2.130000,0.999800,0.979600,0.999450,0.978700
46,0.051667,2.210000,0.156667,2.510000,0.999483,0.977900,0.998433,0.974900
47,0.028333,2.010000,0.563333,2.590000,0.999717,0.979900,0.994367,0.974100
48,0.065000,2.140000,0.105000,2.530000,0.999350,0.978600,0.998950,0.974700
49,0.130000,2.240000,0.070000,2.420000,0.998700,0.977600,0.999300,0.975800
50,0.810000,3.170000,0.026667,2.290000,0.991900,0.968300,0.999733,0.977100
51,0.026667,1.970000,0.043333,2.280000,0.999733,0.980300,0.999567,0.977200
52,0.098333,2.120000,0.070000,2.320000,0.999017,0.978800,0.999300,0.976800
53,0.071667,2.350000,0.068333,2.330000,0.999283,0.976500,0.999317,0.976700
54,0.018333,2.060000,0.083333,2.250000,0.999817,0.979400,0.999167,0.977500
55,0.023333,2.060000,0.075000,2.140000,0.999767,0.979400,0.999250,0.978600
56,0.011667,1.960000,0.043333,2.240000,0.999883,0.980400,0.999567,0.977600
57,0.198333,2.080000,0.058333,2.330000,0.998017,0.979200,0.999417,0.976700
58,0.065000,2.190000,0.048333,2.380000,0.999350,0.978100,0.999517,0.976200
59,0.078333,2.050000,0.218333,2.520000,0.999217,0.979500,0.997817,0.974800
60,0.053333,2.040000,0.050000,2.270000,0.999467,0.979600,0.999500,0.977300
