epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,11.720000,11.320000,12.310000,11.700000,0.882800,0.886800,0.876900,0.883000
2,7.895000,7.720000,7.756667,7.760000,0.921050,0.922800,0.922433,0.922400
3,5.935000,5.970000,6.321667,6.600000,0.940650,0.940300,0.936783,0.934000
4,4.940000,5.580000,3.646667,4.130000,0.950600,0.944200,0.963533,0.958700
5,3.871667,4.030000,3.550000,4.110000,0.961283,0.959700,0.964500,0.958900
6,3.225000,3.680000,2.700000,3.530000,0.967750,0.963200,0.973000,0.964700
7,2.915000,3.590000,1.841667,2.790000,0.970850,0.964100,0.981583,0.972100
8,2.376667,3.100000,1.356667,2.330000,0.976233,0.969000,0.986433,0.976700
9,1.891667,2.710000,1.455000,2.470000,0.981083,0.972900,0.985450,0.975300
10,1.621667,2.440000,0.963333,2.190000,0.983783,0.975600,0.990367,0.978100
11,1.523333,2.380000,0.811667,2.170000,0.984767,0.976200,0.991883,0.978300
12,1.146667,2.190000,0.568333,1.910000,0.988533,0.978100,0.994317,0.980900
13,1.110000,2.190000,0.853333,2.330000,0.988900,0.978100,0.991467,0.976700
14,0.866667,2.010000,0.361667,1.900000,0.991333,0.979900,0.996383,0.981000
15,0.770000,2.130000,0.201667,1.800000,0.992300,0.978700,0.997983,0.982000
16,0.636667,2.030000,0.188333,1.820000,0.993633,0.979700,0.998117,0.981800
17,0.575000,2.020000,0.140000,1.850000,0.994250,0.979800,0.998600,0.981500
18,0.430000,1.820000,0.136667,1.730000,0.995700,0.981800,0.998633,0.982700
19,0.371667,1.850000,0.075000,1.800000,0.996283,0.981500,0.999250,0.982000
20,0.288333,1.850000,0.040000,1.750000,0.997117,0.981500,0.999600,0.982500
21,0.255000,1.840000,0.060000,1.810000,0.997450,0.981600,0.999400,0.981900
22,0.213333,1.810000,0.106667,1.980000,0.997867,0.981900,0.998933,0.980200
23,0.146667,1.650000,0.013333,1.730000,0.998533,0.983500,0.999867,0.982700
24,0.170000,1.790000,0.025000,1.770000,0.998300,0.982100,0.999750,0.982300
25,0.093333,1.830000,0.005000,1.640000,0.999067,0.981700,0.999950,0.983600
26,0.125000,1.720000,0.003333,1.740000,0.998750,0.982800,0.999967,0.982600
27,0.110000,1.720000,0.001667,1.710000,0.998900,0.982800,0.999983,0.982900
28,0.108333,1.720000,0.008333,1.750000,0.998917,0.982800,0.999917,0.982500
29,0.053333,1.610000,0.000000,1.760000,0.999467,0.983900,1.000000,0.982400
30,0.033333,1.720000,0.000000,1.810000,0.999667,0.982800,1.000000,0.981900
31,0.021667,1.680000,0.000000,1.750000,0.999783,0.983200,1.000000,0.982500
32,0.011667,1.650000,0.000000,1.690000,0.999883,0.983500,1.000000,0.983100
33,0.028333,1.720000,0.000000,1.690000,0.999717,0.982800,1.000000,0.983100
34,0.006667,1.640000,0.000000,1.650000,0.999933,0.983600,1.000000,0.983500
35,0.005000,1.720000,0.000000,1.730000,0.999950,0.982800,1.000000,0.982700
36,0.006667,1.630000,0.000000,1.710000,0.999933,0.983700,1.000000,0.982900
37,0.008333,1.590000,0.000000,1.670000,0.999917,0.984100,1.000000,0.983300
38,0.001667,1.590000,0.000000,1.690000,0.999983,0.984100,1.000000,0.983100
39,0.001667,1.610000,0.001667,1.660000,0.999983,0.983900,0.999983,0.983400
40,0.001667,1.610000,0.000000,1.720000,0.999983,0.983900,1.000000,0.982800
41,0.001667,1.640000,0.000000,1.710000,0.999983,0.983600,1.000000,0.982900
42,0.000000,1.530000,0.000000,1.670000,1.000000,0.984700,1.000000,0.983300
43,0.000000,1.610000,0.000000,1.650000,1.000000,0.983900,1.000000,0.983500
44,0.003333,1.570000,0.000000,1.660000,0.999967,0.984300,1.000000,0.983400
45,0.003333,1.610000,0.000000,1.660000,0.999967,0.983900,1.000000,0.983400
46,0.001667,1.580000,0.000000,1.670000,0.999983,0.984200,1.000000,0.983300
47,0.000000,1.600000,0.000000,1.620000,1.000000,0.984000,1.000000,0.983800
48,0.000000,1.600000,0.000000,1.700000,1.000000,0.984000,1.000000,0.983000
49,0.000000,1.630000,0.000000,1.580000,1.000000,0.983700,1.000000,0.984200
50,0.000000,1.620000,0.000000,1.700000,1.000000,0.983800,1.000000,0.983000
51,0.000000,1.620000,0.000000,1.640000,1.000000,0.983800,1.000000,0.983600
52,0.000000,1.460000,0.000000,1.640000,1.000000,0.985400,1.000000,0.983600
53,0.000000,1.520000,0.000000,1.600000,1.000000,0.984800,1.000000,0.984000
54,0.000000,1.530000,0.000000,1.680000,1.000000,0.984700,1.000000,0.983200
55,0.000000,1.560000,0.000000,1.730000,1.000000,0.984400,1.000000,0.982700
56,0.000000,1.540000,0.000000,1.700000,1.000000,0.984600,1.000000,0.983000
57,0.000000,1.530000,0.000000,1.670000,1.000000,0.984700,1.000000,0.983300
58,0.000000,1.600000,0.000000,1.710000,1.000000,0.984000,1.000000,0.982900
59,0.000000,1.570000,0.000000,1.700000,1.000000,0.984300,1.000000,0.983000
60,0.000000,1.540000,0.000000,1.630000,1.000000,0.984600,1.000000,0.983700
