epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,26.303333,26.550000,20.203333,19.750000,0.736967,0.734500,0.797967,0.802500
2,14.066667,14.620000,15.458333,15.480000,0.859333,0.853800,0.845417,0.845200
3,21.676667,21.770000,5.110000,5.590000,0.783233,0.782300,0.948900,0.944100
4,10.285000,10.880000,9.106667,9.640000,0.897150,0.891200,0.908933,0.903600
5,4.628333,4.980000,3.785000,4.850000,0.953717,0.950200,0.962150,0.951500
6,4.675000,5.540000,2.745000,3.770000,0.953250,0.944600,0.972550,0.962300
7,9.353333,10.830000,5.316667,5.940000,0.906467,0.891700,0.946833,0.940600
8,2.438333,3.380000,2.655000,3.810000,0.975617,0.966200,0.973450,0.961900
9,3.206667,4.740000,1.933333,3.200000,0.967933,0.952600,0.980667,0.968000
10,4.501667,5.340000,1.646667,2.980000,0.954983,0.946600,0.983533,0.970200
11,4.651667,6.050000,2.056667,3.340000,0.953483,0.939500,0.979433,0.966600
12,1.611667,3.410000,0.886667,2.480000,0.983883,0.965900,0.991133,0.975200
13,3.186667,4.690000,1.301667,3.110000,0.968133,0.953100,0.986983,0.968900
14,6.113333,7.460000,0.928333,2.540000,0.938867,0.925400,0.990717,0.974600
15,1.588333,3.360000,1.425000,3.100000,0.984117,0.966400,0.985750,0.969000
16,0.686667,2.410000,0.556667,2.330000,0.993133,0.975900,0.994433,0.976700
17,1.311667,2.970000,0.391667,2.310000,0.986883,0.970300,0.996083,0.976900
18,0.946667,2.840000,0.398333,2.320000,0.990533,0.971600,0.996017,0.976800
19,0.670000,2.560000,0.443333,2.320000,0.993300,0.974400,0.995567,0.976800
20,0.550000,2.660000,0.638333,2.570000,0.994500,0.973400,0.993617,0.974300
21,0.470000,2.260000,0.993333,3.070000,0.995300,0.977400,0.990067,0.969300
22,0.831667,2.810000,0.600000,2.470000,0.991683,0.971900,0.994000,0.975300
23,0.396667,2.250000,0.673333,2.700000,0.996033,0.977500,0.993267,0.973000
24,0.628333,2.460000,0.240000,2.170000,0.993717,0.975400,0.997600,0.978300
25,0.445000,2.220000,0.318333,2.360000,0.995550,0.977800,0.996817,0.976400
26,0.465000,2.320000,0.453333,2.470000,0.995350,0.976800,0.995467,0.975300
27,0.561667,2.540000,0.376667,2.350000,0.994383,0.974600,0.996233,0.976500
28,0.290000,2.260000,1.136667,3.110000,0.997100,0.977400,0.988633,0.968900
29,0.355000,2.240000,0.180000,2.060000,0.996450,0.977600,0.998200,0.979400
30,0.443333,2.400000,0.120000,2.180000,0.995567,0.976000,0.998800,0.978200
31,0.215000,2.120000,0.123333,2.070000,0.997850,0.978800,0.998767,0.979300
32,0.168333,2.280000,0.228333,2.240000,0.998317,0.977200,0.997717,0.977600
33,0.145000,2.130000,0.285000,2.220000,0.998550,0.978700,0.997150,0.977800
34,1.896667,3.760000,0.271667,2.350000,0.981033,0.962400,0.997283,0.976500
35,0.148333,2.430000,0.400000,2.190000,0.998517,0.975700,0.996000,0.978100
36,0.238333,2.390000,0.151667,2.200000,0.997617,0.976100,0.998483,0.978000
37,0.173333,2.160000,0.046667,2.110000,0.998267,0.978400,0.999533,0.978900
38,0.438333,2.460000,0.186667,2.490000,0.995617,0.975400,0.998133,0.975100
39,0.436667,2.410000,0.505000,2.420000,0.995633,0.975900,0.994950,0.975800
40,0.120000,2.010000,0.238333,2.300000,0.998800,0.979900,0.997617,0.977000
41,1.118333,3.260000,0.120000,2.280000,0.988817,0.967400,0.998800,0.977200
42,0.165000,2.350000,0.153333,2.240000,0.998350,0.976500,0.998467,0.977600
43,0.210000,2.150000,0.115000,2.350000,0.997900,0.978500,0.998850,0.976500
44,0.151667,1.920000,0.083333,2.230000,0.998483,0.980800,0.999167,0.977700
45,0.120000,1.960000,0.906667,3.000000,0.998800,0.980400,0.990933,0.970000
46,0.333333,2.350000,0.081667,2.120000,0.996667,0.976500,0.999183,0.978800
47,0.126667,2.050000,0.056667,2.120000,0.998733,0.979500,0.999433,0.978800
48,0.335000,2.590000,0.211667,2.470000,0.996650,0.974100,0.997883,0.975300
49,0.055000,2.080000,0.030000,2.180000,0.999450,0.979200,0.999700,0.978200
50,0.225000,2.020000,0.045000,2.150000,0.997750,0.979800,0.999550,0.978500
51,0.281667,2.370000,0.110000,2.230000,0.997183,0.976300,0.998900,0.977700
52,0.141667,2.190000,0.098333,2.280000,0.998583,0.978100,0.999017,0.977200
53,0.166667,2.230000,0.206667,2.320000,0.998333,0.977700,0.997933,0.976800
54,0.203333,2.200000,0.095000,2.240000,0.997967,0.978000,0.999050,0.977600
55,0.110000,2.280000,0.045000,2.040000,0.998900,0.977200,0.999550,0.979600
56,0.063333,2.180000,0.070000,2.100000,0.999367,0.978200,0.999300,0.979000
57,0.083333,2.030000,0.130000,2.250000,0.999167,0.979700,0.998700,0.977500
58,0.128333,2.020000,0.145000,2.170000,0.998717,0.979800,0.998550,0.978300
59,0.136667,2.230000,0.033333,2.210000,0.998633,0.977700,0.999667,0.977900
60,0.116667,2.270000,0.553333,2.630000,0.998833,0.977300,0.994467,0.973700
