epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,54.550000,53.560000,19.206667,18.220000,0.454500,0.464400,0.807933,0.817800
2,14.148333,14.260000,11.851667,12.160000,0.858517,0.857400,0.881483,0.878400
3,7.043333,7.060000,7.660000,7.960000,0.929567,0.929400,0.923400,0.920400
4,8.626667,8.700000,5.305000,6.200000,0.913733,0.913000,0.946950,0.938000
5,4.620000,5.250000,4.130000,4.770000,0.953800,0.947500,0.958700,0.952300
6,3.605000,4.420000,2.956667,3.900000,0.963950,0.955800,0.970433,0.961000
7,3.808333,4.620000,2.215000,3.300000,0.961917,0.953800,0.977850,0.967000
8,3.483333,4.630000,2.300000,3.440000,0.965167,0.953700,0.977000,0.965600
9,2.425000,3.740000,2.313333,3.580000,0.975750,0.962600,0.976867,0.964200
10,5.580000,6.480000,1.445000,2.980000,0.944200,0.935200,0.985550,0.970200
11,4.173333,5.790000,2.031667,3.390000,0.958267,0.942100,0.979683,0.966100
12,3.423333,4.890000,1.515000,2.900000,0.965767,0.951100,0.984850,0.971000
13,1.898333,3.710000,1.495000,2.860000,0.981017,0.962900,0.985050,0.971400
14,2.136667,3.650000,0.835000,2.320000,0.978633,0.963500,0.991650,0.976800
15,0.835000,2.570000,1.373333,3.160000,0.991650,0.974300,0.986267,0.968400
16,0.846667,2.460000,0.896667,2.600000,0.991533,0.975400,0.991033,0.974000
17,1.296667,3.250000,0.660000,2.410000,0.987033,0.967500,0.993400,0.975900
18,1.268333,3.140000,0.890000,2.600000,0.987317,0.968600,0.991100,0.974000
19,0.615000,2.460000,0.711667,2.420000,0.993850,0.975400,0.992883,0.975800
20,0.715000,2.590000,0.393333,2.290000,0.992850,0.974100,0.996067,0.977100
21,0.488333,2.310000,0.301667,2.170000,0.995117,0.976900,0.996983,0.978300
22,0.775000,2.620000,0.620000,2.540000,0.992250,0.973800,0.993800,0.974600
23,0.413333,2.160000,0.295000,2.040000,0.995867,0.978400,0.997050,0.979600
24,0.418333,2.260000,0.175000,2.070000,0.995817,0.977400,0.998250,0.979300
25,0.661667,2.640000,0.608333,2.390000,0.993383,0.973600,0.993917,0.976100
26,0.371667,2.250000,0.490000,2.660000,0.996283,0.977500,0.995100,0.973400
27,1.631667,3.650000,0.165000,2.270000,0.983683,0.963500,0.998350,0.977300
28,0.346667,2.470000,0.605000,2.630000,0.996533,0.975300,0.993950,0.973700
29,0.250000,2.210000,0.158333,2.140000,0.997500,0.977900,0.998417,0.978600
30,0.440000,2.460000,0.531667,2.470000,0.995600,0.975400,0.994683,0.975300
31,0.205000,2.130000,0.183333,2.160000,0.997950,0.978700,0.998167,0.978400
32,0.586667,2.850000,0.168333,2.270000,0.994133,0.971500,0.998317,0.977300
33,0.208333,2.290000,0.091667,2.230000,0.997917,0.977100,0.999083,0.977700
34,0.186667,2.210000,0.121667,2.190000,0.998133,0.977900,0.998783,0.978100
35,0.573333,2.590000,0.296667,2.250000,0.994267,0.974100,0.997033,0.977500
36,0.288333,2.440000,0.108333,2.050000,0.997117,0.975600,0.998917,0.979500
37,0.263333,2.260000,0.225000,2.280000,0.997367,0.977400,0.997750,0.977200
38,0.353333,2.510000,0.253333,2.200000,0.996467,0.974900,0.997467,0.978000
39,0.551667,2.880000,0.160000,2.250000,0.994483,0.971200,0.998400,0.977500
40,0.411667,2.630000,0.150000,2.030000,0.995883,0.973700,0.998500,0.979700
41,0.181667,2.150000,0.221667,2.410000,0.998183,0.978500,0.997783,0.975900
42,0.071667,2.180000,0.231667,2.220000,0.999283,0.978200,0.997683,0.977800
43,0.156667,2.120000,1.208333,3.160000,0.998433,0.978800,0.987917,0.968400
44,0.198333,2.200000,0.045000,2.080000,0.998017,0.978000,0.999550,0.979200
45,0.178333,2.170000,0.156667,2.140000,0.998217,0.978300,0.998433,0.978600
46,0.176667,2.190000,0.110000,2.250000,0.998233,0.978100,0.998900,0.977500
47,0.128333,2.300000,0.090000,2.180000,0.998717,0.977000,0.999100,0.978200
48,0.116667,2.110000,0.045000,2.080000,0.998833,0.978900,0.999550,0.979200
49,0.365000,2.460000,0.111667,2.240000,0.996350,0.975400,0.998883,0.977600
50,0.163333,2.090000,0.163333,2.240000,0.998367,0.979100,0.998367,0.977600
51,0.081667,2.180000,0.165000,2.330000,0.999183,0.978200,0.998350,0.976700
52,0.173333,2.500000,0.078333,2.230000,0.998267,0.975000,0.999217,0.977700
53,0.298333,2.600000,0.075000,2.170000,0.997017,0.974000,0.999250,0.978300
54,0.126667,2.130000,0.108333,2.250000,0.998733,0.978700,0.998917,0.977500
55,0.123333,2.110000,0.095000,2.090000,0.998767,0.978900,0.999050,0.979100
56,0.075000,2.080000,0.058333,2.120000,0.999250,0.979200,0.999417,0.978800
57,0.120000,2.230000,0.096667,2.200000,0.998800,0.977700,0.999033,0.978000
58,0.091667,2.090000,0.293333,2.530000,0.999083,0.979100,0.997067,0.974700
59,0.051667,2.150000,0.041667,2.250000,0.999483,0.978500,0.999583,0.977500
60,0.161667,2.340000,0.086667,2.320000,0.998383,0.976600,0.999133,0.976800
