epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,13.881667,14.290000,12.160000,11.330000,0.861183,0.857100,0.878400,0.886700
2,4.730000,4.930000,7.350000,7.440000,0.952700,0.950700,0.926500,0.925600
3,4.375000,5.070000,7.093333,7.490000,0.956250,0.949300,0.929067,0.925100
4,2.006667,2.790000,7.556667,7.810000,0.979933,0.972100,0.924433,0.921900
5,2.186667,3.120000,5.755000,6.370000,0.978133,0.968800,0.942450,0.936300
6,1.145000,2.410000,2.741667,3.690000,0.988550,0.975900,0.972583,0.963100
7,1.433333,2.980000,2.495000,3.540000,0.985667,0.970200,0.975050,0.964600
8,1.180000,2.960000,2.850000,3.940000,0.988200,0.970400,0.971500,0.960600
9,0.653333,2.320000,2.073333,2.970000,0.993467,0.976800,0.979267,0.970300
10,0.263333,2.020000,2.098333,3.660000,0.997367,0.979800,0.979017,0.963400
11,0.210000,1.960000,2.061667,3.280000,0.997900,0.980400,0.979383,0.967200
12,0.195000,2.080000,0.958333,2.280000,0.998050,0.979200,0.990417,0.977200
13,0.045000,1.820000,0.785000,2.330000,0.999550,0.981800,0.992150,0.976700
14,0.021667,1.840000,1.020000,2.390000,0.999783,0.981600,0.989800,0.976100
15,0.011667,1.630000,0.385000,2.060000,0.999883,0.983700,0.996150,0.979400
16,0.051667,2.030000,1.571667,3.540000,0.999483,0.979700,0.984283,0.964600
17,0.028333,1.750000,0.328333,1.870000,0.999717,0.982500,0.996717,0.981300
18,0.098333,2.170000,0.210000,1.950000,0.999017,0.978300,0.997900,0.980500
19,0.006667,1.790000,0.305000,2.070000,0.999933,0.982100,0.996950,0.979300
20,0.005000,1.580000,0.588333,2.330000,0.999950,0.984200,0.994117,0.976700
21,0.016667,1.670000,0.145000,1.950000,0.999833,0.983300,0.998550,0.980500
22,0.025000,1.790000,0.145000,1.870000,0.999750,0.982100,0.998550,0.981300
23,0.056667,1.810000,0.170000,1.970000,0.999433,0.981900,0.998300,0.980300
24,0.006667,1.710000,0.243333,2.080000,0.999933,0.982900,0.997567,0.979200
25,0.003333,1.710000,0.290000,2.230000,0.999967,0.982900,0.997100,0.977700
26,0.001667,1.600000,0.071667,1.690000,0.999983,0.984000,0.999283,0.983100
27,0.220000,1.940000,0.040000,1.750000,0.997800,0.980600,0.999600,0.982500
28,0.020000,1.750000,0.428333,2.250000,0.999800,0.982500,0.995717,0.977500
29,0.000000,1.600000,0.103333,2.140000,1.000000,0.984000,0.998967,0.978600
30,0.000000,1.710000,0.040000,1.750000,1.000000,0.982900,0.999600,0.982500
31,0.018333,1.630000,0.043333,1.770000,0.999817,0.983700,0.999567,0.982300
32,0.001667,1.670000,0.076667,1.890000,0.999983,0.983300,0.999233,0.981100
33,0.000000,1.590000,0.068333,2.070000,1.000000,0.984100,0.999317,0.979300
34,0.176667,2.100000,0.068333,1.880000,0.998233,0.979000,0.999317,0.981200
35,0.000000,1.650000,0.043333,1.700000,1.000000,0.983500,0.999567,0.983000
36,1.125000,2.970000,0.050000,1.740000,0.988750,0.970300,0.999500,0.982600
37,0.006667,1.620000,0.073333,1.930000,0.999933,0.983800,0.999267,0.980700
38,0.003333,1.760000,0.043333,1.890000,0.999967,0.982400,0.999567,0.981100
39,0.021667,1.630000,0.753333,2.660000,0.999783,0.983700,0.992467,0.973400
40,0.005000,1.690000,0.318333,2.060000,0.999950,0.983100,0.996817,0.979400
41,0.001667,1.670000,0.235000,2.120000,0.999983,0.983300,0.997650,0.978800
42,0.020000,1.630000,0.061667,1.840000,0.999800,0.983700,0.999383,0.981600
43,0.063333,1.710000,0.036667,1.620000,0.999367,0.982900,0.999633,0.983800
44,0.028333,1.730000,0.186667,2.120000,0.999717,0.982700,0.998133,0.978800
45,0.008333,1.620000,0.023333,1.890000,0.999917,0.983800,0.999767,0.981100
46,0.001667,1.630000,0.028333,1.800000,0.999983,0.983700,0.999717,0.982000
47,0.013333,1.550000,0.006667,1.850000,0.999867,0.984500,0.999933,0.981500
48,0.016667,1.760000,0.021667,1.950000,0.999833,0.982400,0.999783,0.980500
49,0.000000,1.570000,0.028333,1.880000,1.000000,0.984300,0.999717,0.981200
50,0.003333,1.510000,0.165000,2.220000,0.999967,0.984900,0.998350,0.977800
51,0.001667,1.640000,0.003333,1.700000,0.999983,0.983600,0.999967,0.983000
52,0.000000,1.630000,0.010000,1.850000,1.000000,0.983700,0.999900,0.981500
53,0.130000,1.970000,0.001667,1.870000,0.998700,0.980300,0.999983,0.981300
54,0.003333,1.470000,0.048333,1.790000,0.999967,0.985300,0.999517,0.982100
55,0.005000,1.640000,0.006667,1.870000,0.999950,0.983600,0.999933,0.981300
56,0.015000,1.550000,0.005000,1.780000,0.999850,0.984500,0.999950,0.982200
57,0.005000,1.600000,0.010000,1.790000,0.999950,0.984000,0.999900,0.982100
58,0.003333,1.730000,0.093333,1.840000,0.999967,0.982700,0.999067,0.981600
59,0.011667,1.700000,0.000000,1.840000,0.999883,0.983000,1.000000,0.981600
60,0.000000,1.580000,0.146667,1.880000,1.000000,0.984200,0.998533,0.981200
