epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,10.478333,9.920000,12.753333,12.330000,0.895217,0.900800,0.872467,0.876700
2,6.816667,6.660000,12.173333,11.970000,0.931833,0.933400,0.878267,0.880300
3,3.518333,3.820000,7.280000,7.460000,0.964817,0.961800,0.927200,0.925400
4,2.898333,3.530000,4.910000,5.390000,0.971017,0.964700,0.950900,0.946100
5,1.736667,2.540000,3.128333,3.650000,0.982633,0.974600,0.968717,0.963500
6,1.551667,2.620000,2.753333,3.780000,0.984483,0.973800,0.972467,0.962200
7,1.238333,2.420000,2.268333,3.310000,0.987617,0.975800,0.977317,0.966900
8,0.670000,2.010000,2.785000,3.700000,0.993300,0.979900,0.972150,0.963000
9,0.568333,1.960000,1.076667,2.120000,0.994317,0.980400,0.989233,0.978800
10,0.385000,1.930000,1.910000,3.010000,0.996150,0.980700,0.980900,0.969900
11,0.438333,2.180000,1.453333,2.660000,0.995617,0.978200,0.985467,0.973400
12,0.185000,1.850000,0.485000,1.920000,0.998150,0.981500,0.995150,0.980800
13,0.100000,1.760000,0.991667,2.490000,0.999000,0.982400,0.990083,0.975100
14,0.073333,1.770000,0.490000,2.090000,0.999267,0.982300,0.995100,0.979100
15,0.036667,1.700000,1.216667,2.670000,0.999633,0.983000,0.987833,0.973300
16,0.056667,1.740000,2.755000,4.430000,0.999433,0.982600,0.972450,0.955700
17,0.016667,1.720000,1.098333,2.700000,0.999833,0.982800,0.989017,0.973000
18,0.038333,1.670000,0.115000,1.780000,0.999617,0.983300,0.998850,0.982200
19,0.005000,1.680000,0.151667,1.830000,0.999950,0.983200,0.998483,0.981700
20,0.016667,1.690000,0.140000,1.890000,0.999833,0.983100,0.998600,0.981100
21,0.008333,1.580000,0.665000,2.680000,0.999917,0.984200,0.993350,0.973200
22,0.000000,1.550000,0.083333,1.730000,1.000000,0.984500,0.999167,0.982700
23,0.000000,1.680000,0.030000,1.680000,1.000000,0.983200,0.999700,0.983200
24,0.005000,1.540000,0.083333,1.870000,0.999950,0.984600,0.999167,0.981300
25,0.000000,1.540000,0.170000,1.900000,1.000000,0.984600,0.998300,0.981000
26,0.000000,1.510000,0.028333,1.840000,1.000000,0.984900,0.999717,0.981600
27,0.001667,1.670000,0.033333,1.830000,0.999983,0.983300,0.999667,0.981700
28,0.000000,1.500000,0.253333,2.250000,1.000000,0.985000,0.997467,0.977500
29,0.000000,1.450000,0.080000,2.040000,1.000000,0.985500,0.999200,0.979600
30,0.005000,1.560000,0.031667,1.820000,0.999950,0.984400,0.999683,0.981800
31,0.001667,1.810000,0.013333,1.770000,0.999983,0.981900,0.999867,0.982300
32,0.000000,1.360000,0.050000,1.880000,1.000000,0.986400,0.999500,0.981200
33,0.001667,1.540000,0.040000,2.040000,0.999983,0.984600,0.999600,0.979600
34,0.000000,1.580000,0.006667,1.750000,1.000000,0.984200,0.999933,0.982500
35,0.000000,1.470000,0.733333,2.790000,1.000000,0.985300,0.992667,0.972100
36,0.000000,1.510000,0.005000,1.740000,1.000000,0.984900,0.999950,0.982600
37,0.000000,1.460000,0.006667,1.610000,1.000000,0.985400,0.999933,0.983900
38,0.000000,1.490000,0.015000,1.910000,1.000000,0.985100,0.999850,0.980900
39,0.001667,1.470000,0.010000,1.720000,0.999983,0.985300,0.999900,0.982800
40,0.001667,1.560000,0.003333,1.740000,0.999983,0.984400,0.999967,0.982600
41,0.000000,1.390000,0.010000,1.750000,1.000000,0.986100,0.999900,0.982500
42,0.000000,1.530000,0.053333,1.910000,1.000000,0.984700,0.999467,0.980900
43,0.000000,1.500000,0.048333,1.920000,1.000000,0.985000,0.999517,0.980800
44,0.001667,1.600000,0.031667,1.650000,0.999983,0.984000,0.999683,0.983500
45,0.000000,1.420000,0.000000,1.660000,1.000000,0.985800,1.000000,0.983400
46,0.000000,1.490000,0.001667,1.550000,1.000000,0.985100,0.999983,0.984500
47,0.001667,1.550000,0.000000,1.550000,0.999983,0.984500,1.000000,0.984500
48,0.000000,1.570000,0.006667,1.630000,1.000000,0.984300,0.999933,0.983700
49,0.000000,1.610000,0.006667,1.640000,1.000000,0.983900,0.999933,0.983600
50,0.006667,1.500000,0.068333,1.960000,0.999933,0.985000,0.999317,0.980400
51,0.000000,1.360000,0.006667,1.710000,1.000000,0.986400,0.999933,0.982900
52,0.000000,1.500000,0.591667,2.590000,1.000000,0.985000,0.994083,0.974100
53,0.000000,1.480000,0.000000,1.700000,1.000000,0.985200,1.000000,0.983000
54,0.000000,1.540000,0.006667,1.850000,1.000000,0.984600,0.999933,0.981500
55,0.000000,1.510000,0.000000,1.640000,1.000000,0.984900,1.000000,0.983600
56,0.000000,1.470000,0.086667,1.810000,1.000000,0.985300,0.999133,0.981900
57,0.000000,1.440000,0.008333,1.780000,1.000000,0.985600,0.999917,0.982200
58,0.000000,1.570000,0.018333,1.910000,1.000000,0.984300,0.999817,0.980900
59,0.000000,1.490000,0.006667,1.650000,1.000000,0.985100,0.999933,0.983500
60,0.000000,1.510000,0.001667,1.640000,1.000000,0.984900,0.999983,0.983600
