model,depth,width,n_seeds,bp_mean,bp_std,dfa_mean,dfa_std
7x240,7,240,10,2.0920000000000014,0.1346435623744751,2.2850000000000015,0.1415980225850627
1x800,1,800,10,1.580999999999999,0.04954235000930399,1.6239999999999999,0.03921450978627205
2x800,2,800,10,1.5390000000000004,0.06367451958549963,1.7149999999999987,0.09324400487132921
3x800,3,800,10,1.6580000000000006,0.05553777493242174,1.8469999999999986,0.09153627089241213
4x800,4,800,10,1.795000000000001,0.08553751613570737,2.0089999999999995,0.22158269086029597
