epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,12.805000,13.050000,13.461667,12.740000,0.871950,0.869500,0.865383,0.872600
2,4.486667,4.850000,7.631667,7.650000,0.955133,0.951500,0.923683,0.923500
3,5.113333,5.970000,6.726667,7.310000,0.948867,0.940300,0.932733,0.926900
4,1.943333,2.820000,7.568333,8.130000,0.980567,0.971800,0.924317,0.918700
5,2.728333,3.910000,6.533333,7.360000,0.972717,0.960900,0.934667,0.926400
6,0.986667,2.230000,2.493333,3.450000,0.990133,0.977700,0.975067,0.965500
7,2.468333,3.990000,2.248333,3.280000,0.975317,0.960100,0.977517,0.967200
8,0.938333,2.890000,2.486667,3.580000,0.990617,0.971100,0.975133,0.964200
9,1.126667,2.670000,2.331667,3.170000,0.988733,0.973300,0.976683,0.968300
10,1.356667,3.400000,2.475000,3.890000,0.986433,0.966000,0.975250,0.961100
11,0.353333,2.260000,2.656667,3.870000,0.996467,0.977400,0.973433,0.961300
12,0.190000,2.050000,1.273333,2.560000,0.998100,0.979500,0.987267,0.974400
13,0.068333,1.950000,0.646667,2.270000,0.999317,0.980500,0.993533,0.977300
14,0.136667,2.130000,1.565000,2.910000,0.998633,0.978700,0.984350,0.970900
15,0.033333,1.880000,0.776667,2.520000,0.999667,0.981200,0.992233,0.974800
16,0.248333,2.310000,3.118333,5.000000,0.997517,0.976900,0.968817,0.950000
17,0.045000,1.860000,0.348333,2.040000,0.999550,0.981400,0.996517,0.979600
18,0.025000,1.860000,0.671667,2.360000,0.999750,0.981400,0.993283,0.976400
19,0.338333,1.980000,0.393333,2.350000,0.996617,0.980200,0.996067,0.976500
20,0.035000,1.770000,0.386667,2.260000,0.999650,0.982300,0.996133,0.977400
21,0.048333,1.870000,0.231667,2.080000,0.999517,0.981300,0.997683,0.979200
22,0.033333,1.910000,0.571667,2.120000,0.999667,0.980900,0.994283,0.978800
23,0.023333,1.920000,0.331667,2.290000,0.999767,0.980800,0.996683,0.977100
24,0.526667,2.740000,0.305000,2.220000,0.994733,0.972600,0.996950,0.977800
25,0.005000,1.880000,1.436667,3.130000,0.999950,0.981200,0.985633,0.968700
26,0.026667,1.920000,0.083333,1.930000,0.999733,0.980800,0.999167,0.980700
27,0.011667,1.950000,0.448333,2.310000,0.999883,0.980500,0.995517,0.976900
28,0.130000,1.930000,0.206667,2.050000,0.998700,0.980700,0.997933,0.979500
29,0.083333,1.910000,0.180000,2.090000,0.999167,0.980900,0.998200,0.979100
30,0.081667,1.800000,0.091667,1.980000,0.999183,0.982000,0.999083,0.980200
31,0.033333,1.900000,0.068333,1.880000,0.999667,0.981000,0.999317,0.981200
32,0.028333,1.880000,0.048333,1.840000,0.999717,0.981200,0.999517,0.981600
33,0.218333,2.140000,0.086667,1.970000,0.997817,0.978600,0.999133,0.980300
34,0.016667,1.810000,0.043333,1.910000,0.999833,0.981900,0.999567,0.980900
35,0.028333,1.780000,0.060000,1.830000,0.999717,0.982200,0.999400,0.981700
36,0.031667,1.880000,0.175000,2.090000,0.999683,0.981200,0.998250,0.979100
37,0.006667,1.830000,0.018333,1.980000,0.999933,0.981700,0.999817,0.980200
38,0.006667,1.760000,0.063333,1.900000,0.999933,0.982400,0.999367,0.981000
39,0.021667,1.740000,0.096667,1.960000,0.999783,0.982600,0.999033,0.980400
40,0.003333,1.720000,0.278333,2.270000,0.999967,0.982800,0.997217,0.977300
41,0.005000,1.770000,0.076667,1.960000,0.999950,0.982300,0.999233,0.980400
42,0.001667,1.850000,0.240000,2.170000,0.999983,0.981500,0.997600,0.978300
43,0.010000,1.760000,0.016667,1.700000,0.999900,0.982400,0.999833,0.983000
44,0.006667,1.690000,0.086667,2.020000,0.999933,0.983100,0.999133,0.979800
45,0.005000,1.810000,0.020000,1.730000,0.999950,0.981900,0.999800,0.982700
46,0.015000,1.690000,0.505000,2.530000,0.999850,0.983100,0.994950,0.974700
47,0.023333,1.910000,0.295000,2.360000,0.999767,0.980900,0.997050,0.976400
48,0.005000,1.950000,0.013333,1.800000,0.999950,0.980500,0.999867,0.982000
49,0.085000,2.010000,0.028333,1.700000,0.999150,0.979900,0.999717,0.983000
50,0.003333,1.850000,0.053333,1.880000,0.999967,0.981500,0.999467,0.981200
51,0.058333,1.810000,0.025000,2.000000,0.999417,0.981900,0.999750,0.980000
52,0.043333,1.840000,0.013333,1.780000,0.999567,0.981600,0.999867,0.982200
53,0.018333,1.740000,0.031667,1.790000,0.999817,0.982600,0.999683,0.982100
54,0.015000,1.650000,0.068333,1.920000,0.999850,0.983500,0.999317,0.980800
55,0.016667,1.650000,0.036667,1.650000,0.999833,0.983500,0.999633,0.983500
56,0.021667,1.680000,0.023333,1.740000,0.999783,0.983200,0.999767,0.982600
57,0.006667,1.660000,0.066667,2.020000,0.999933,0.983400,0.999333,0.979800
58,0.011667,1.820000,0.018333,1.810000,0.999883,0.981800,0.999817,0.981900
59,0.026667,1.770000,0.060000,1.890000,0.999733,0.982300,0.999400,0.981100
60,0.011667,1.810000,0.070000,2.010000,0.999883,0.981900,0.999300,0.979900
