epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,10.901667,10.460000,15.198333,14.240000,0.890983,0.895400,0.848017,0.857600
2,6.613333,7.200000,14.315000,13.980000,0.933867,0.928000,0.856850,0.860200
3,3.361667,4.090000,4.765000,4.970000,0.966383,0.959100,0.952350,0.950300
4,3.405000,4.380000,5.296667,5.880000,0.965950,0.956200,0.947033,0.941200
5,2.135000,3.100000,3.316667,4.030000,0.978650,0.969000,0.966833,0.959700
6,1.393333,2.740000,2.475000,3.560000,0.986067,0.972600,0.975250,0.964400
7,1.380000,2.870000,4.483333,5.250000,0.986200,0.971300,0.955167,0.947500
8,0.443333,2.070000,1.583333,2.690000,0.995567,0.979300,0.984167,0.973100
9,0.278333,2.000000,2.585000,3.540000,0.997217,0.980000,0.974150,0.964600
10,0.686667,2.420000,1.138333,2.330000,0.993133,0.975800,0.988617,0.976700
11,0.085000,1.720000,2.611667,3.670000,0.999150,0.982800,0.973883,0.963300
12,0.068333,1.740000,0.908333,2.360000,0.999317,0.982600,0.990917,0.976400
13,0.051667,1.730000,0.800000,2.600000,0.999483,0.982700,0.992000,0.974000
14,0.490000,2.360000,0.616667,2.180000,0.995100,0.976400,0.993833,0.978200
15,0.063333,1.720000,0.973333,2.630000,0.999367,0.982800,0.990267,0.973700
16,0.035000,1.870000,0.385000,2.120000,0.999650,0.981300,0.996150,0.978800
17,0.271667,2.130000,0.250000,2.090000,0.997283,0.978700,0.997500,0.979100
18,0.035000,1.840000,0.676667,2.350000,0.999650,0.981600,0.993233,0.976500
19,0.018333,1.810000,0.160000,1.990000,0.999817,0.981900,0.998400,0.980100
20,0.015000,1.670000,0.210000,2.120000,0.999850,0.983300,0.997900,0.978800
21,0.253333,1.910000,1.300000,2.980000,0.997467,0.980900,0.987000,0.970200
22,0.008333,1.640000,0.838333,2.710000,0.999917,0.983600,0.991617,0.972900
23,0.001667,1.680000,0.896667,2.650000,0.999983,0.983200,0.991033,0.973500
24,0.010000,1.710000,0.598333,2.470000,0.999900,0.982900,0.994017,0.975300
25,0.013333,1.660000,0.235000,1.920000,0.999867,0.983400,0.997650,0.980800
26,0.000000,1.640000,0.078333,1.910000,1.000000,0.983600,0.999217,0.980900
27,0.003333,1.740000,0.060000,1.810000,0.999967,0.982600,0.999400,0.981900
28,0.001667,1.610000,0.361667,2.160000,0.999983,0.983900,0.996383,0.978400
29,0.005000,1.690000,0.223333,1.970000,0.999950,0.983100,0.997767,0.980300
30,0.013333,1.860000,0.046667,1.860000,0.999867,0.981400,0.999533,0.981400
31,0.003333,1.570000,0.036667,1.850000,0.999967,0.984300,0.999633,0.981500
32,0.013333,1.770000,0.028333,1.830000,0.999867,0.982300,0.999717,0.981700
33,0.005000,1.550000,0.036667,1.860000,0.999950,0.984500,0.999633,0.981400
34,0.000000,1.600000,0.315000,2.090000,1.000000,0.984000,0.996850,0.979100
35,0.160000,2.110000,1.095000,3.140000,0.998400,0.978900,0.989050,0.968600
36,0.000000,1.580000,0.056667,1.940000,1.000000,0.984200,0.999433,0.980600
37,0.000000,1.670000,0.070000,1.890000,1.000000,0.983300,0.999300,0.981100
38,0.015000,1.700000,0.093333,2.090000,0.999850,0.983000,0.999067,0.979100
39,0.000000,1.520000,0.053333,1.960000,1.000000,0.984800,0.999467,0.980400
40,0.010000,1.770000,0.270000,2.040000,0.999900,0.982300,0.997300,0.979600
41,0.000000,1.620000,4.406667,6.780000,1.000000,0.983800,0.955933,0.932200
42,0.005000,1.670000,0.018333,1.690000,0.999950,0.983300,0.999817,0.983100
43,0.008333,1.690000,0.591667,2.460000,0.999917,0.983100,0.994083,0.975400
44,0.011667,1.590000,0.131667,2.000000,0.999883,0.984100,0.998683,0.980000
45,0.000000,1.560000,0.058333,1.830000,1.000000,0.984400,0.999417,0.981700
46,0.038333,1.800000,0.045000,1.920000,0.999617,0.982000,0.999550,0.980800
47,0.050000,1.750000,0.070000,1.970000,0.999500,0.982500,0.999300,0.980300
48,0.001667,1.640000,0.015000,1.720000,0.999983,0.983600,0.999850,0.982800
49,0.001667,1.680000,0.023333,1.790000,0.999983,0.983200,0.999767,0.982100
50,0.010000,1.710000,0.025000,1.860000,0.999900,0.982900,0.999750,0.981400
51,0.010000,1.590000,0.020000,1.780000,0.999900,0.984100,0.999800,0.982200
52,0.000000,1.560000,0.016667,1.850000,1.000000,0.984400,0.999833,0.981500
53,0.000000,1.480000,0.068333,1.850000,1.000000,0.985200,0.999317,0.981500
54,0.000000,1.590000,0.025000,1.750000,1.000000,0.984100,0.999750,0.982500
55,0.005000,1.530000,0.020000,1.940000,0.999950,0.984700,0.999800,0.980600
56,0.005000,1.550000,0.048333,1.990000,0.999950,0.984500,0.999517,0.980100
57,0.000000,1.610000,0.303333,2.340000,1.000000,0.983900,0.996967,0.976600
58,0.015000,1.750000,0.081667,2.140000,0.999850,0.982500,0.999183,0.978600
59,0.006667,1.650000,0.013333,1.880000,0.999933,0.983500,0.999867,0.981200
60,0.001667,1.580000,0.013333,1.810000,0.999983,0.984200,0.999867,0.981900
