epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,11.376667,11.030000,15.841667,15.240000,0.886233,0.889700,0.841583,0.847600
2,6.556667,7.120000,14.980000,14.670000,0.934433,0.928800,0.850200,0.853300
3,3.040000,3.810000,5.001667,5.290000,0.969600,0.961900,0.949983,0.947100
4,3.328333,4.450000,4.925000,5.710000,0.966717,0.955500,0.950750,0.942900
5,2.103333,3.360000,3.103333,4.060000,0.978967,0.966400,0.968967,0.959400
6,2.441667,3.990000,2.546667,3.710000,0.975583,0.960100,0.974533,0.962900
7,2.980000,4.650000,4.215000,4.950000,0.970200,0.953500,0.957850,0.950500
8,0.383333,2.050000,1.835000,2.890000,0.996167,0.979500,0.981650,0.971100
9,0.373333,2.170000,2.401667,3.390000,0.996267,0.978300,0.975983,0.966100
10,1.253333,3.040000,1.168333,2.240000,0.987467,0.969600,0.988317,0.977600
11,0.506667,2.510000,0.913333,2.360000,0.994933,0.974900,0.990867,0.976400
12,0.241667,2.100000,1.045000,2.620000,0.997583,0.979000,0.989550,0.973800
13,0.235000,2.140000,0.620000,2.480000,0.997650,0.978600,0.993800,0.975200
14,1.601667,3.830000,0.575000,2.140000,0.983983,0.961700,0.994250,0.978600
15,0.196667,2.160000,1.680000,3.360000,0.998033,0.978400,0.983200,0.966400
16,0.013333,1.860000,0.541667,2.460000,0.999867,0.981400,0.994583,0.975400
17,0.150000,2.120000,0.468333,2.140000,0.998500,0.978800,0.995317,0.978600
18,0.065000,1.970000,0.945000,2.710000,0.999350,0.980300,0.990550,0.972900
19,0.410000,2.330000,0.380000,2.320000,0.995900,0.976700,0.996200,0.976800
20,0.025000,1.810000,0.986667,3.090000,0.999750,0.981900,0.990133,0.969100
21,0.018333,1.640000,1.071667,3.240000,0.999817,0.983600,0.989283,0.967600
22,0.015000,1.860000,0.226667,2.200000,0.999850,0.981400,0.997733,0.978000
23,0.016667,1.760000,0.286667,2.330000,0.999833,0.982400,0.997133,0.976700
24,0.066667,1.740000,0.415000,2.310000,0.999333,0.982600,0.995850,0.976900
25,0.008333,1.620000,0.286667,2.140000,0.999917,0.983800,0.997133,0.978600
26,0.105000,2.230000,0.266667,2.170000,0.998950,0.977700,0.997333,0.978300
27,0.058333,1.900000,0.286667,2.370000,0.999417,0.981000,0.997133,0.976300
28,0.123333,2.160000,0.278333,2.200000,0.998767,0.978400,0.997217,0.978000
29,0.015000,1.870000,1.066667,3.180000,0.999850,0.981300,0.989333,0.968200
30,0.028333,1.940000,0.116667,1.980000,0.999717,0.980600,0.998833,0.980200
31,0.031667,1.770000,0.076667,1.970000,0.999683,0.982300,0.999233,0.980300
32,0.005000,1.730000,0.420000,2.660000,0.999950,0.982700,0.995800,0.973400
33,0.028333,1.670000,0.061667,2.030000,0.999717,0.983300,0.999383,0.979700
34,0.010000,1.710000,0.128333,2.170000,0.999900,0.982900,0.998717,0.978300
35,0.031667,1.880000,3.536667,5.440000,0.999683,0.981200,0.964633,0.945600
36,0.033333,1.820000,0.215000,2.230000,0.999667,0.981800,0.997850,0.977700
37,0.026667,1.730000,0.040000,1.920000,0.999733,0.982700,0.999600,0.980800
38,0.003333,1.670000,0.048333,1.840000,0.999967,0.983300,0.999517,0.981600
39,0.020000,1.720000,0.100000,1.890000,0.999800,0.982800,0.999000,0.981100
40,0.010000,1.670000,0.110000,2.160000,0.999900,0.983300,0.998900,0.978400
41,0.056667,1.830000,0.055000,1.950000,0.999433,0.981700,0.999450,0.980500
42,0.010000,1.760000,0.066667,1.990000,0.999900,0.982400,0.999333,0.980100
43,0.066667,1.950000,0.025000,1.780000,0.999333,0.980500,0.999750,0.982200
44,0.003333,1.750000,0.056667,1.960000,0.999967,0.982500,0.999433,0.980400
45,0.005000,1.770000,0.171667,2.020000,0.999950,0.982300,0.998283,0.979800
46,0.028333,1.810000,0.020000,1.900000,0.999717,0.981900,0.999800,0.981000
47,0.003333,1.830000,0.028333,1.880000,0.999967,0.981700,0.999717,0.981200
48,0.005000,1.750000,0.040000,2.000000,0.999950,0.982500,0.999600,0.980000
49,0.030000,1.860000,0.021667,1.810000,0.999700,0.981400,0.999783,0.981900
50,0.046667,1.970000,0.053333,2.010000,0.999533,0.980300,0.999467,0.979900
51,0.000000,1.760000,0.115000,2.060000,1.000000,0.982400,0.998850,0.979400
52,0.006667,1.950000,0.400000,2.430000,0.999933,0.980500,0.996000,0.975700
53,0.156667,2.180000,0.033333,1.940000,0.998433,0.978200,0.999667,0.980600
54,0.040000,1.980000,0.025000,1.890000,0.999600,0.980200,0.999750,0.981100
55,0.018333,1.870000,0.038333,2.020000,0.999817,0.981300,0.999617,0.979800
56,0.076667,1.900000,0.008333,1.770000,0.999233,0.981000,0.999917,0.982300
57,0.010000,1.940000,0.016667,1.860000,0.999900,0.980600,0.999833,0.981400
58,0.001667,1.800000,0.036667,1.950000,0.999983,0.982000,0.999633,0.980500
59,0.011667,1.800000,0.071667,2.090000,0.999883,0.982000,0.999283,0.979100
60,0.006667,1.680000,0.125000,1.960000,0.999933,0.983200,0.998750,0.980400
