epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,10.525000,9.960000,15.030000,14.270000,0.894750,0.900400,0.849700,0.857300
2,5.678333,5.640000,8.075000,7.920000,0.943217,0.943600,0.919250,0.920800
3,4.301667,4.780000,7.430000,7.470000,0.956983,0.952200,0.925700,0.925300
4,2.810000,3.620000,4.060000,4.690000,0.971900,0.963800,0.959400,0.953100
5,2.613333,3.410000,5.400000,6.140000,0.973867,0.965900,0.946000,0.938600
6,1.636667,2.740000,3.865000,4.570000,0.983633,0.972600,0.961350,0.954300
7,1.026667,2.540000,2.836667,3.640000,0.989733,0.974600,0.971633,0.963600
8,0.730000,2.200000,3.108333,3.920000,0.992700,0.978000,0.968917,0.960800
9,0.538333,1.950000,1.326667,2.440000,0.994617,0.980500,0.986733,0.975600
10,0.475000,2.120000,1.200000,2.400000,0.995250,0.978800,0.988000,0.976000
11,0.261667,2.060000,0.588333,1.920000,0.997383,0.979400,0.994117,0.980800
12,0.150000,1.710000,0.566667,1.900000,0.998500,0.982900,0.994333,0.981000
13,0.171667,1.990000,0.476667,2.040000,0.998283,0.980100,0.995233,0.979600
14,0.046667,1.740000,0.245000,1.750000,0.999533,0.982600,0.997550,0.982500
15,0.103333,1.600000,1.093333,2.580000,0.998967,0.984000,0.989067,0.974200
16,0.060000,1.770000,3.220000,4.660000,0.999400,0.982300,0.967800,0.953400
17,0.036667,1.810000,0.155000,1.860000,0.999633,0.981900,0.998450,0.981400
18,0.151667,1.870000,0.308333,2.070000,0.998483,0.981300,0.996917,0.979300
19,0.006667,1.670000,0.601667,2.230000,0.999933,0.983300,0.993983,0.977700
20,0.006667,1.630000,0.080000,1.730000,0.999933,0.983700,0.999200,0.982700
21,0.003333,1.730000,0.835000,2.490000,0.999967,0.982700,0.991650,0.975100
22,0.005000,1.550000,0.091667,1.750000,0.999950,0.984500,0.999083,0.982500
23,0.031667,1.680000,0.296667,2.270000,0.999683,0.983200,0.997033,0.977300
24,0.001667,1.480000,0.056667,1.890000,0.999983,0.985200,0.999433,0.981100
25,0.005000,1.510000,0.025000,1.660000,0.999950,0.984900,0.999750,0.983400
26,0.028333,1.560000,0.016667,1.660000,0.999717,0.984400,0.999833,0.983400
27,0.000000,1.550000,0.006667,1.770000,1.000000,0.984500,0.999933,0.982300
28,0.011667,1.700000,0.015000,1.730000,0.999883,0.983000,0.999850,0.982700
29,0.006667,1.560000,0.325000,2.210000,0.999933,0.984400,0.996750,0.977900
30,0.000000,1.490000,0.045000,1.720000,1.000000,0.985100,0.999550,0.982800
31,0.000000,1.550000,0.018333,1.880000,1.000000,0.984500,0.999817,0.981200
32,0.000000,1.510000,0.121667,1.940000,1.000000,0.984900,0.998783,0.980600
33,0.000000,1.510000,0.080000,1.810000,1.000000,0.984900,0.999200,0.981900
34,0.000000,1.440000,0.000000,1.690000,1.000000,0.985600,1.000000,0.983100
35,0.000000,1.570000,0.026667,1.770000,1.000000,0.984300,0.999733,0.982300
36,0.000000,1.550000,0.010000,1.750000,1.000000,0.984500,0.999900,0.982500
37,0.000000,1.540000,0.000000,1.680000,1.000000,0.984600,1.000000,0.983200
38,0.000000,1.540000,0.028333,1.810000,1.000000,0.984600,0.999717,0.981900
39,0.000000,1.600000,0.000000,1.560000,1.000000,0.984000,1.000000,0.984400
40,0.000000,1.590000,0.023333,1.750000,1.000000,0.984100,0.999767,0.982500
41,0.000000,1.470000,0.026667,1.760000,1.000000,0.985300,0.999733,0.982400
42,0.000000,1.550000,0.005000,1.730000,1.000000,0.984500,0.999950,0.982700
43,0.000000,1.600000,0.000000,1.590000,1.000000,0.984000,1.000000,0.984100
44,0.000000,1.560000,0.071667,1.960000,1.000000,0.984400,0.999283,0.980400
45,0.000000,1.510000,0.003333,1.680000,1.000000,0.984900,0.999967,0.983200
46,0.000000,1.560000,0.008333,1.670000,1.000000,0.984400,0.999917,0.983300
47,0.000000,1.490000,0.008333,1.630000,1.000000,0.985100,0.999917,0.983700
48,0.000000,1.530000,0.026667,1.700000,1.000000,0.984700,0.999733,0.983000
49,0.000000,1.470000,0.031667,1.770000,1.000000,0.985300,0.999683,0.982300
50,0.000000,1.430000,0.001667,1.640000,1.000000,0.985700,0.999983,0.983600
51,0.000000,1.460000,0.270000,2.080000,1.000000,0.985400,0.997300,0.979200
52,0.000000,1.490000,0.040000,1.770000,1.000000,0.985100,0.999600,0.982300
53,0.000000,1.460000,0.001667,1.650000,1.000000,0.985400,0.999983,0.983500
54,0.000000,1.560000,0.000000,1.660000,1.000000,0.984400,1.000000,0.983400
55,0.000000,1.460000,0.000000,1.690000,1.000000,0.985400,1.000000,0.983100
56,0.000000,1.530000,0.003333,1.590000,1.000000,0.984700,0.999967,0.984100
57,0.000000,1.510000,0.090000,2.000000,1.000000,0.984900,0.999100,0.980000
58,0.000000,1.520000,0.000000,1.600000,1.000000,0.984800,1.000000,0.984000
59,0.000000,1.580000,0.001667,1.620000,1.000000,0.984200,0.999983,0.983800
60,0.000000,1.490000,0.000000,1.550000,1.000000,0.985100,1.000000,0.984500
