epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,19.836667,19.010000,18.818333,18.340000,0.801633,0.809900,0.811817,0.816600
2,11.086667,11.100000,9.441667,9.820000,0.889133,0.889000,0.905583,0.901800
3,10.356667,10.250000,8.431667,8.550000,0.896433,0.897500,0.915683,0.914500
4,10.995000,11.270000,4.956667,5.340000,0.890050,0.887300,0.950433,0.946600
5,4.795000,5.380000,5.173333,6.410000,0.952050,0.946200,0.948267,0.935900
6,4.020000,4.720000,2.845000,3.880000,0.959800,0.952800,0.971550,0.961200
7,3.548333,4.800000,3.146667,4.340000,0.964517,0.952000,0.968533,0.956600
8,3.503333,4.900000,2.126667,3.280000,0.964967,0.951000,0.978733,0.967200
9,3.225000,4.820000,2.525000,3.820000,0.967750,0.951800,0.974750,0.961800
10,6.618333,8.220000,1.333333,2.840000,0.933817,0.917800,0.986667,0.971600
11,1.510000,3.060000,1.958333,3.680000,0.984900,0.969400,0.980417,0.963200
12,1.543333,3.030000,2.358333,3.630000,0.984567,0.969700,0.976417,0.963700
13,10.456667,11.540000,0.691667,2.360000,0.895433,0.884600,0.993083,0.976400
14,0.900000,2.510000,0.806667,2.480000,0.991000,0.974900,0.991933,0.975200
15,2.503333,4.180000,0.910000,2.660000,0.974967,0.958200,0.990900,0.973400
16,1.598333,3.500000,0.755000,2.490000,0.984017,0.965000,0.992450,0.975100
17,0.888333,2.700000,0.488333,2.260000,0.991117,0.973000,0.995117,0.977400
18,0.665000,2.490000,0.415000,2.280000,0.993350,0.975100,0.995850,0.977200
19,0.623333,2.350000,0.368333,2.220000,0.993767,0.976500,0.996317,0.977800
20,0.520000,2.190000,0.441667,2.420000,0.994800,0.978100,0.995583,0.975800
21,0.740000,2.620000,0.236667,2.200000,0.992600,0.973800,0.997633,0.978000
22,0.543333,2.500000,0.428333,2.470000,0.994567,0.975000,0.995717,0.975300
23,0.588333,2.290000,0.288333,2.380000,0.994117,0.977100,0.997117,0.976200
24,0.766667,2.870000,0.180000,2.350000,0.992333,0.971300,0.998200,0.976500
25,0.748333,2.790000,0.251667,2.340000,0.992517,0.972100,0.997483,0.976600
26,0.301667,2.310000,0.993333,2.880000,0.996983,0.976900,0.990067,0.971200
27,0.411667,2.300000,0.223333,2.230000,0.995883,0.977000,0.997767,0.977700
28,0.300000,2.090000,0.308333,2.510000,0.997000,0.979100,0.996917,0.974900
29,0.361667,2.080000,1.351667,3.620000,0.996383,0.979200,0.986483,0.963800
30,0.355000,2.240000,1.020000,2.910000,0.996450,0.977600,0.989800,0.970900
31,0.178333,2.110000,0.090000,2.230000,0.998217,0.978900,0.999100,0.977700
32,0.373333,2.350000,0.375000,2.580000,0.996267,0.976500,0.996250,0.974200
33,0.311667,2.290000,0.106667,2.240000,0.996883,0.977100,0.998933,0.977600
34,0.215000,2.160000,0.646667,2.690000,0.997850,0.978400,0.993533,0.973100
35,0.181667,2.270000,0.168333,2.160000,0.998183,0.977300,0.998317,0.978400
36,0.268333,2.410000,0.136667,2.220000,0.997317,0.975900,0.998633,0.977800
37,2.571667,4.610000,0.166667,2.140000,0.974283,0.953900,0.998333,0.978600
38,0.566667,2.710000,0.081667,2.230000,0.994333,0.972900,0.999183,0.977700
39,0.208333,2.110000,0.123333,2.260000,0.997917,0.978900,0.998767,0.977400
40,0.138333,2.160000,0.181667,2.450000,0.998617,0.978400,0.998183,0.975500
41,0.455000,2.420000,0.116667,2.190000,0.995450,0.975800,0.998833,0.978100
42,0.118333,2.090000,0.148333,2.190000,0.998817,0.979100,0.998517,0.978100
43,0.240000,2.270000,0.160000,2.250000,0.997600,0.977300,0.998400,0.977500
44,0.101667,2.130000,0.603333,2.810000,0.998983,0.978700,0.993967,0.971900
45,0.471667,2.480000,0.086667,2.170000,0.995283,0.975200,0.999133,0.978300
46,0.110000,2.120000,0.075000,2.170000,0.998900,0.978800,0.999250,0.978300
47,0.091667,2.170000,0.138333,2.310000,0.999083,0.978300,0.998617,0.976900
48,0.825000,2.880000,0.131667,2.400000,0.991750,0.971200,0.998683,0.976000
49,0.885000,2.690000,0.198333,2.510000,0.991150,0.973100,0.998017,0.974900
50,0.085000,2.130000,0.051667,2.270000,0.999150,0.978700,0.999483,0.977300
51,0.085000,2.250000,0.073333,2.160000,0.999150,0.977500,0.999267,0.978400
52,0.125000,2.070000,0.118333,2.220000,0.998750,0.979300,0.998817,0.977800
53,0.141667,2.000000,0.060000,2.320000,0.998583,0.980000,0.999400,0.976800
54,0.078333,1.960000,0.073333,2.130000,0.999217,0.980400,0.999267,0.978700
55,0.210000,2.360000,0.041667,2.190000,0.997900,0.976400,0.999583,0.978100
56,0.091667,2.060000,0.081667,2.160000,0.999083,0.979400,0.999183,0.978400
57,0.711667,2.920000,0.195000,2.230000,0.992883,0.970800,0.998050,0.977700
58,0.061667,2.030000,0.061667,2.260000,0.999383,0.979700,0.999383,0.977400
59,0.075000,1.910000,0.145000,2.480000,0.999250,0.980900,0.998550,0.975200
60,0.235000,2.210000,0.026667,2.330000,0.997650,0.977900,0.999733,0.976700
