epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,17.781667,17.190000,19.773333,18.980000,0.822183,0.828100,0.802267,0.810200
2,5.106667,5.440000,8.938333,8.840000,0.948933,0.945600,0.910617,0.911600
3,4.065000,4.850000,10.371667,10.550000,0.959350,0.951500,0.896283,0.894500
4,4.801667,5.820000,6.901667,7.510000,0.951983,0.941800,0.930983,0.924900
5,1.843333,3.100000,7.566667,8.210000,0.981567,0.969000,0.924333,0.917900
6,1.121667,2.410000,2.693333,3.550000,0.988783,0.975900,0.973067,0.964500
7,0.723333,2.280000,4.233333,5.220000,0.992767,0.977200,0.957667,0.947800
8,0.813333,2.620000,8.128333,9.060000,0.991867,0.973800,0.918717,0.909400
9,0.228333,1.950000,2.366667,3.730000,0.997717,0.980500,0.976333,0.962700
10,0.390000,2.110000,2.798333,4.130000,0.996100,0.978900,0.972017,0.958700
11,0.200000,2.110000,2.330000,3.570000,0.998000,0.978900,0.976700,0.964300
12,0.531667,2.490000,3.320000,4.650000,0.994683,0.975100,0.966800,0.953500
13,0.026667,1.740000,1.453333,3.020000,0.999733,0.982600,0.985467,0.969800
14,0.083333,1.940000,1.470000,3.110000,0.999167,0.980600,0.985300,0.968900
15,0.131667,1.820000,0.383333,1.930000,0.998683,0.981800,0.996167,0.980700
16,0.021667,1.720000,0.576667,2.220000,0.999783,0.982800,0.994233,0.977800
17,0.025000,1.820000,0.385000,2.010000,0.999750,0.981800,0.996150,0.979900
18,0.006667,1.690000,0.318333,1.920000,0.999933,0.983100,0.996817,0.980800
19,0.023333,1.720000,0.198333,1.760000,0.999767,0.982800,0.998017,0.982400
20,0.020000,1.710000,0.216667,2.010000,0.999800,0.982900,0.997833,0.979900
21,0.083333,1.840000,0.130000,1.850000,0.999167,0.981600,0.998700,0.981500
22,0.008333,1.760000,0.350000,2.040000,0.999917,0.982400,0.996500,0.979600
23,0.043333,1.760000,0.123333,2.020000,0.999567,0.982400,0.998767,0.979800
24,0.068333,1.970000,0.181667,1.850000,0.999317,0.980300,0.998183,0.981500
25,0.000000,1.640000,0.093333,1.890000,1.000000,0.983600,0.999067,0.981100
26,0.016667,1.740000,0.175000,2.040000,0.999833,0.982600,0.998250,0.979600
27,0.001667,1.700000,1.145000,3.120000,0.999983,0.983000,0.988550,0.968800
28,0.003333,1.780000,0.210000,2.210000,0.999967,0.982200,0.997900,0.977900
29,0.008333,1.680000,0.181667,2.050000,0.999917,0.983200,0.998183,0.979500
30,0.005000,1.710000,0.066667,1.700000,0.999950,0.982900,0.999333,0.983000
31,0.046667,1.930000,0.055000,1.930000,0.999533,0.980700,0.999450,0.980700
32,0.001667,1.750000,0.096667,1.930000,0.999983,0.982500,0.999033,0.980700
33,0.001667,1.740000,0.710000,2.640000,0.999983,0.982600,0.992900,0.973600
34,0.001667,1.790000,0.100000,1.930000,0.999983,0.982100,0.999000,0.980700
35,0.186667,1.930000,0.030000,1.910000,0.998133,0.980700,0.999700,0.980900
36,0.025000,1.790000,0.018333,1.720000,0.999750,0.982100,0.999817,0.982800
37,0.000000,1.680000,0.018333,1.860000,1.000000,0.983200,0.999817,0.981400
38,0.018333,1.800000,0.528333,2.470000,0.999817,0.982000,0.994717,0.975300
39,0.061667,1.800000,0.408333,2.160000,0.999383,0.982000,0.995917,0.978400
40,0.006667,1.790000,0.008333,1.700000,0.999933,0.982100,0.999917,0.983000
41,0.005000,1.820000,0.015000,1.800000,0.999950,0.981800,0.999850,0.982000
42,0.000000,1.710000,0.006667,1.770000,1.000000,0.982900,0.999933,0.982300
43,0.001667,1.720000,0.018333,1.780000,0.999983,0.982800,0.999817,0.982200
44,0.000000,1.720000,0.036667,2.020000,1.000000,0.982800,0.999633,0.979800
45,0.000000,1.680000,0.066667,1.990000,1.000000,0.983200,0.999333,0.980100
46,0.000000,1.720000,0.061667,1.820000,1.000000,0.982800,0.999383,0.981800
47,0.000000,1.720000,0.801667,2.560000,1.000000,0.982800,0.991983,0.974400
48,0.023333,1.850000,0.021667,1.810000,0.999767,0.981500,0.999783,0.981900
49,0.003333,1.750000,0.051667,1.810000,0.999967,0.982500,0.999483,0.981900
50,0.000000,1.720000,0.040000,1.780000,1.000000,0.982800,0.999600,0.982200
51,0.000000,1.770000,0.020000,1.930000,1.000000,0.982300,0.999800,0.980700
52,0.058333,1.790000,0.028333,1.870000,0.999417,0.982100,0.999717,0.981300
53,0.001667,1.720000,0.823333,2.660000,0.999983,0.982800,0.991767,0.973400
54,0.008333,1.700000,0.148333,2.030000,0.999917,0.983000,0.998517,0.979700
55,0.000000,1.660000,0.006667,1.730000,1.000000,0.983400,0.999933,0.982700
56,0.005000,1.560000,0.046667,1.910000,0.999950,0.984400,0.999533,0.980900
57,0.055000,2.000000,0.003333,1.650000,0.999450,0.980000,0.999967,0.983500
58,0.033333,1.860000,0.001667,1.650000,0.999667,0.981400,0.999983,0.983500
59,0.006667,1.700000,0.006667,1.790000,0.999933,0.983000,0.999933,0.982100
60,0.006667,1.720000,0.003333,1.740000,0.999933,0.982800,0.999967,0.982600
