epoch,train_err_bp,test_err_bp,train_err_dfa,test_err_dfa,train_acc_bp,test_acc_bp,train_acc_dfa,test_acc_dfa
1,10.303333,10.200000,17.456667,16.890000,0.896967,0.898000,0.825433,0.831100
2,6.840000,6.830000,14.815000,14.620000,0.931600,0.931700,0.851850,0.853800
3,2.735000,3.540000,6.408333,6.730000,0.972650,0.964600,0.935917,0.932700
4,2.670000,3.380000,5.055000,5.730000,0.973300,0.966200,0.949450,0.942700
5,1.171667,2.370000,3.135000,3.830000,0.988283,0.976300,0.968650,0.961700
6,1.275000,2.700000,2.700000,3.940000,0.987250,0.973000,0.973000,0.960600
7,1.181667,2.700000,2.015000,3.060000,0.988183,0.973000,0.979850,0.969400
8,0.430000,1.930000,3.770000,4.720000,0.995700,0.980700,0.962300,0.952800
9,0.220000,2.020000,1.166667,2.350000,0.997800,0.979800,0.988333,0.976500
10,0.195000,2.020000,2.190000,3.180000,0.998050,0.979800,0.978100,0.968200
11,1.011667,2.800000,1.316667,2.450000,0.989883,0.972000,0.986833,0.975500
12,0.120000,1.870000,0.630000,2.020000,0.998800,0.981300,0.993700,0.979800
13,0.056667,1.760000,0.871667,2.220000,0.999433,0.982400,0.991283,0.977800
14,0.270000,1.940000,0.643333,2.010000,0.997300,0.980600,0.993567,0.979900
15,0.031667,1.730000,1.443333,2.970000,0.999683,0.982700,0.985567,0.970300
16,0.060000,1.920000,3.985000,5.600000,0.999400,0.980800,0.960150,0.944000
17,0.005000,1.740000,4.496667,6.070000,0.999950,0.982600,0.955033,0.939300
18,0.171667,2.190000,0.160000,1.790000,0.998283,0.978100,0.998400,0.982100
19,0.018333,1.680000,0.350000,1.910000,0.999817,0.983200,0.996500,0.980900
20,0.025000,1.770000,0.183333,1.820000,0.999750,0.982300,0.998167,0.981800
21,0.008333,1.670000,0.601667,2.530000,0.999917,0.983300,0.993983,0.974700
22,0.080000,1.930000,0.225000,2.050000,0.999200,0.980700,0.997750,0.979500
23,0.165000,1.950000,0.280000,2.150000,0.998350,0.980500,0.997200,0.978500
24,0.008333,1.620000,0.266667,2.180000,0.999917,0.983800,0.997333,0.978200
25,0.003333,1.610000,0.123333,1.810000,0.999967,0.983900,0.998767,0.981900
26,0.208333,2.040000,0.070000,1.770000,0.997917,0.979600,0.999300,0.982300
27,0.120000,1.880000,0.233333,2.040000,0.998800,0.981200,0.997667,0.979600
28,0.001667,1.790000,0.256667,2.130000,0.999983,0.982100,0.997433,0.978700
29,0.005000,1.680000,0.125000,2.010000,0.999950,0.983200,0.998750,0.979900
30,0.003333,1.660000,0.150000,2.130000,0.999967,0.983400,0.998500,0.978700
31,0.000000,1.620000,0.168333,1.990000,1.000000,0.983800,0.998317,0.980100
32,0.010000,1.680000,0.066667,1.730000,0.999900,0.983200,0.999333,0.982700
33,0.011667,1.710000,0.035000,1.960000,0.999883,0.982900,0.999650,0.980400
34,0.000000,1.620000,0.026667,1.830000,1.000000,0.983800,0.999733,0.981700
35,0.111667,1.720000,0.153333,2.000000,0.998883,0.982800,0.998467,0.980000
36,0.003333,1.610000,0.035000,1.890000,0.999967,0.983900,0.999650,0.981100
37,0.000000,1.650000,0.030000,1.740000,1.000000,0.983500,0.999700,0.982600
38,0.000000,1.670000,0.046667,1.940000,1.000000,0.983300,0.999533,0.980600
39,0.040000,1.790000,0.026667,1.770000,0.999600,0.982100,0.999733,0.982300
40,0.003333,1.700000,0.016667,1.790000,0.999967,0.983000,0.999833,0.982100
41,0.000000,1.630000,0.025000,1.780000,1.000000,0.983700,0.999750,0.982200
42,0.000000,1.620000,0.303333,2.270000,1.000000,0.983800,0.996967,0.977300
43,0.005000,1.640000,0.080000,1.820000,0.999950,0.983600,0.999200,0.981800
44,0.098333,1.870000,0.341667,2.240000,0.999017,0.981300,0.996583,0.977600
45,0.003333,1.550000,0.035000,1.890000,0.999967,0.984500,0.999650,0.981100
46,0.001667,1.630000,0.046667,1.760000,0.999983,0.983700,0.999533,0.982400
47,0.071667,1.890000,0.103333,1.880000,0.999283,0.981100,0.998967,0.981200
48,0.001667,1.620000,0.006667,1.690000,0.999983,0.983800,0.999933,0.983100
49,0.048333,1.720000,0.021667,1.710000,0.999517,0.982800,0.999783,0.982900
50,0.073333,1.980000,0.011667,1.670000,0.999267,0.980200,0.999883,0.983300
51,0.001667,1.660000,0.228333,2.350000,0.999983,0.983400,0.997717,0.976500
52,0.040000,1.800000,0.060000,1.790000,0.999600,0.982000,0.999400,0.982100
53,0.001667,1.650000,0.003333,1.780000,0.999983,0.983500,0.999967,0.982200
54,0.001667,1.720000,0.011667,1.720000,0.999983,0.982800,0.999883,0.982800
55,0.003333,1.700000,0.005000,1.690000,0.999967,0.983000,0.999950,0.983100
56,0.003333,1.550000,0.023333,1.720000,0.999967,0.984500,0.999767,0.982800
57,0.006667,1.750000,0.001667,1.700000,0.999933,0.982500,0.999983,0.983000
58,0.000000,1.730000,0.010000,1.750000,1.000000,0.982700,0.999900,0.982500
59,0.086667,1.910000,0.043333,1.740000,0.999133,0.980900,0.999567,0.982600
60,0.003333,1.710000,0.020000,1.750000,0.999967,0.982900,0.999800,0.982500
